item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,9502.02,7958.59,4335.79,3947.14
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),55381.41,49420.65,45422.64,44448.7
Chỉ số giá thị trường trên thu nhập (P/E),P/E,4.53,5.58,8.26,9.91
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.78,0.9,0.79,0.88
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.18,0.2,0.18,0.2
Tỷ suất cổ tức,Dividend yield,0.06,0.09,0.07,0.03
Beta,Beta,0.78,0.39,0.61,0.56
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,2.08,2.97,5.23,6.81
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,2.45,3.5,4.5
Tỷ suất lợi nhuận gộp biên,Gross profit margin,10.74,10.81,9.52,10.92
Tỷ lệ lãi EBIT,EBIT margin,5.01,4.45,2.69,2.58
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,5.49,5.4,4.03,3.91
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.2,3.73,2.22,2.09
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,18.13,16.78,9.65,9.06
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),22.4,20.33,11.45,11.17
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,7.51,6.85,3.59,3.42
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,7.75,13.33,1.67,40.88
Tăng trưởng  lợi nhuận gộp,Gross profit,7.06,28.61,-11.33,76.79
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,22.16,86.39,5.6,119.3
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,19.39,83.56,9.85,117.14
Tăng trưởng tổng tài sản,Total assets,10.97,6.68,-12.83,26.93
Tăng trưởng nợ dài hạn,Long-term liabilities,-41.78,34.35,-13.72,50.34
Tăng trưởng nợ phải trả,Liabilities,10.21,5.24,-20.73,43.47
Tăng trưởng vốn chủ sở hữu,Owner's equity,12.06,8.8,2.19,4.09
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.24,0.26,0.17,0.1
Tỷ số thanh toán nhanh,Quick ratio,0.93,0.84,0.88,0.73
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.27,0.27,0.18,0.18
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.35,1.33,1.28,1.19
Khả năng thanh toán lãi vay,Interest coverage,558.94,114.69,356.66,0.0
