item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,969886604.0,984463881.0,812076442.0,802272588.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,414559407.0,497249090.0,375159699.0,506530075.0
1. Tiền,1. Cash,196659407.0,184819090.0,172190699.0,155730075.0
2. Các khoản tương đương tiền,2. Cash equivalents,217900000.0,312430000.0,202969000.0,350800000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,425460000.0,351360000.0,317360000.0,162360000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,425460000.0,351360000.0,317360000.0,162360000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,82719442.0,95585499.0,84861607.0,97335627.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,74473026.0,65260671.0,71034865.0,74934187.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,3453717.0,24579379.0,3758678.0,19888517.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,4792699.0,5745449.0,10068065.0,2512923.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,32166863.0,33044520.0,26482977.0,27026126.0
1. Hàng tồn kho,1. Inventories,32166863.0,33044520.0,26482977.0,27026126.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,14980891.0,7224773.0,8212159.0,9020760.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,12744798.0,7224773.0,8212159.0,9020760.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,2236093.0,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,427339755.0,439230044.0,451440078.0,463650113.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,178966135.0,188524979.0,198095734.0,207666488.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,178953635.0,188509979.0,198078234.0,207646488.0
      - Nguyên giá,    - Cost,1172457383.0,1172457383.0,1172457383.0,1172457383.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-993503748.0,-983947405.0,-974379150.0,-964810895.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,12500.0,15000.0,17500.0,20000.0
      - Nguyên giá,    - Cost,2032375.0,2032375.0,2032375.0,2032375.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2019875.0,-2017375.0,-2014875.0,-2012375.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,,,,
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,248373619.0,250705065.0,253344345.0,255983624.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,248373619.0,250705065.0,253344345.0,255983624.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1397226358.0,1423693925.0,1263516520.0,1265922701.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,203512948.0,200529054.0,158562148.0,159678864.0
I. Nợ ngắn hạn,I. Short -term liabilities,203512948.0,200529054.0,158562148.0,159678864.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,77629468.0,48199907.0,39975639.0,45384053.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,1512921.0,926175.0,922347.0,1363025.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,32580174.0,17543249.0,18261708.0,16111153.0
4. Phải trả người lao động,4. Payable to employees,21247982.0,4498270.0,13196272.0,8727564.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,15328469.0,46043905.0,7279516.0,6863344.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
