item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,7282.26,6832.32,6166.42,5653.15
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14518.0,19339.0,17470.0,17490.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,12.08,8.2,10.05,12.03
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,6.06,2.9,3.55,3.89
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,24.5,11.66,13.17,16.78
Tỷ suất cổ tức,Dividend yield,0.05,0.04,0.06,0.12
Beta,Beta,0.13,0.28,0.15,0.27
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,45.22,29.15,25.13,30.12
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,53.84,54.45,50.25,50.09
Tỷ lệ lãi EBIT,EBIT margin,51.06,46.39,47.39,49.15
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,54.3,49.54,50.61,52.9
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,45.7,41.22,42.05,43.4
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,11.17,10.76,11.33,10.57
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),12.48,12.1,12.76,11.97
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,9.57,9.32,9.9,9.05
ROE bình quân 4 quý gần nhất,ROE Trailling,42.93,38.99,37.69,35.7
ROA bình quân 4 quý gần nhất,ROA Trailling,37.13,33.59,32.31,30.58
Tăng trưởng  doanh thu thuần,Net revenue,-2.54,15.46,4.58,5.85
Tăng trưởng  lợi nhuận gộp,Gross profit,58.48,48.0,29.71,7.44
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,70.79,52.31,35.78,18.78
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,91.57,50.69,35.0,17.83
Tăng trưởng tổng tài sản,Total assets,17.14,28.65,13.6,-5.79
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,5.04,12.59,12.95,87.75
Tăng trưởng vốn chủ sở hữu,Owner's equity,19.48,31.72,13.69,-12.11
Tăng trưởng vốn điều lệ,Charter capital,30.0,30.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,2.04,2.48,2.37,3.17
Tỷ số thanh toán nhanh,Quick ratio,4.61,4.74,4.95,4.86
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",4.13,4.23,4.37,4.19
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,4.77,4.91,5.12,5.02
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,0.0
