item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1238928269.0,1326965173.0,1480367395.0,1499102462.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,60338804.0,135720622.0,162307332.0,192342016.0
1. Tiền,1. Cash,60338804.0,20720622.0,162307332.0,127342016.0
2. Các khoản tương đương tiền,2. Cash equivalents,,115000000.0,,65000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,295000000.0,,,
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,295000000.0,,,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,344585840.0,643909001.0,878877761.0,873492573.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,262614946.0,569888993.0,815080964.0,825506263.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,45526613.0,38226804.0,36836298.0,23613310.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,62670997.0,60562829.0,51750125.0,45617272.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-26226716.0,-24769626.0,-24789626.0,-21244272.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,531443280.0,546239593.0,427480584.0,433166301.0
1. Hàng tồn kho,1. Inventories,531443280.0,546239593.0,427480584.0,433166301.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,7560345.0,1095956.0,11701718.0,101571.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,,85884.0,6981971.0,101571.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,7559385.0,1010073.0,4719747.0,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,959.0,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1090465633.0,1007130621.0,966925550.0,665802033.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,187300.0,187300.0,187300.0,187300.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,187300.0,187300.0,187300.0,187300.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,104701712.0,107541567.0,125998020.0,140513666.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,90777884.0,93180506.0,109383789.0,123551048.0
      - Nguyên giá,    - Cost,481885657.0,476981794.0,482797695.0,495433623.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-391107773.0,-383801288.0,-373413905.0,-371882575.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,16614231.0,
      - Nguyên giá,    - Cost,,,22398866.0,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,-5784635.0,
3. Tài sản cố định vô hình,3. Intangible fixed assets,13923827.0,14361061.0,,16962619.0
      - Nguyên giá,    - Cost,20526167.0,20526167.0,,22398866.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-6602340.0,-6165106.0,,-5436248.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,809205051.0,763660335.0,707750097.0,335306409.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,809205051.0,763660335.0,707750097.0,335306409.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,168094346.0,124535105.0,113638549.0,172803973.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",168094346.0,124535105.0,113638549.0,172803973.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,8277225.0,11206314.0,19351584.0,16990685.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,8277225.0,11206314.0,19351584.0,16990685.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
