item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3781.34,3821.24,2872.62,2492.4
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),21061.0,21887.0,20746.0,20123.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,6.85,7.9,9.33,11.15
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.23,1.38,1.29,1.38
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.97,0.96,0.71,0.87
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,2.19,2.22,2.23,2.31
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,22.37,24.23,39.6,40.67
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,34.09,38.6
Tỷ suất lợi nhuận gộp biên,Gross profit margin,5.25,4.34,2.64,3.73
Tỷ lệ lãi EBIT,EBIT margin,5.72,4.45,2.13,3.04
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,5.81,4.63,2.16,3.2
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.71,3.61,1.64,2.29
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,6.15,5.35,3.05,3.71
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),6.41,5.62,3.34,4.14
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,3.27,2.56,1.33,1.64
ROE bình quân 4 quý gần nhất,ROE Trailling,18.07,18.61,14.54,12.92
ROA bình quân 4 quý gần nhất,ROA Trailling,8.72,8.58,6.47,5.67
Tăng trưởng  doanh thu thuần,Net revenue,0.29,-7.34,6.67,-0.03
Tăng trưởng  lợi nhuận gộp,Gross profit,-19.75,94.81,58.85,67.56
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-0.93,499.84,179.85,181.11
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,4.43,568.81,187.74,191.67
Tăng trưởng tổng tài sản,Total assets,-0.2,3.99,9.53,9.18
Tăng trưởng nợ dài hạn,Long-term liabilities,1.13,0.14,-0.7,-0.7
Tăng trưởng nợ phải trả,Liabilities,-17.28,-8.87,5.29,6.46
Tăng trưởng vốn chủ sở hữu,Owner's equity,19.47,20.36,15.17,13.07
Tăng trưởng vốn điều lệ,Charter capital,10.0,10.0,5.0,5.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.07,0.33,0.29,0.08
Tỷ số thanh toán nhanh,Quick ratio,0.86,0.83,0.87,0.65
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.43,0.33,0.29,0.08
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.5,1.41,1.29,1.23
Khả năng thanh toán lãi vay,Interest coverage,21.55,22.23,9.79,9.98
