item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,1685585211.0,1484625110.0,1145028260.0,2322917663.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,482772084.0,456178822.0,402253183.0,326932322.0
Các khoản dự phòng,(Reversal of provisions)/provisions,-67946786.0,-162252191.0,-14037225.0,387722852.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,-2164804.0,-27022142.0,-30553816.0,5954817.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-130344124.0,-122522216.0,-134239852.0,-77054210.0
Chi phí lãi vay,Interest expense,54042653.0,73329339.0,133346693.0,97120950.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,2021944236.0,1702336723.0,1501797243.0,3063594393.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,225828385.0,-535335514.0,718606667.0,-199768903.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,192441226.0,1025794424.0,-855599830.0,-1264945856.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",-378973020.0,212186483.0,-352075032.0,333538831.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,18865353.0,9499311.0,19323684.0,-23207851.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,137122594.0,19613851.0,-1888142.0,-99422923.0
Tiền lãi vay đã trả,Interest paid,-54833071.0,-73949593.0,-132956871.0,-95288758.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-69639984.0,-258829641.0,-315269830.0,-62980286.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-14322900.0,-28300651.0,-34921448.0,-47414786.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,2078432819.0,2073015394.0,547016441.0,1604103861.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-412831702.0,-677527089.0,-676969024.0,-1131261912.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,7651908.0,2320677.0,4491383.0,9538016.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-3919041498.0,-4171435575.0,-3551994500.0,-2265170759.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",3799609217.0,3877054493.0,3290982799.0,1791847379.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",117035404.0,114542028.0,140217977.0,66595247.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,-407576671.0,-855045466.0,-793271365.0,-1528452028.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,,,56675390.0,154002380.0
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,,,
