item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,12074000616.0,12567803303.0,10075768817.0,13463916114.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,47763003.0,55009822.0,42752364.0,233115927.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,12026237613.0,12512793481.0,10033016452.0,13230800187.0
4. Giá vốn hàng bán ,4. Cost of goods sold,10043007522.0,10617752698.0,8540191778.0,10254865119.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,1983230091.0,1895040783.0,1492824674.0,2975935067.0
6.Doanh thu hoạt động tài chính ,6. Financial income,364381525.0,423311813.0,377047028.0,434061628.0
7. Chi phí tài chính ,7. Financial expenses,107318953.0,216754272.0,228560765.0,369571270.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,54042653.0,73329339.0,133346693.0,97120950.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,2239400.0,800694.0,222516.0
9. Chi phí bán hàng ,9. Selling expenses,251503858.0,296508835.0,216294675.0,349389329.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,316029643.0,357769169.0,307655328.0,372098136.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,1672759162.0,1449559721.0,1118161628.0,2319160476.0
12. Thu nhập khác ,12. Other income,50120059.0,66282923.0,50022103.0,33544170.0
13. Chi phí khác ,13.Other expenses,37294009.0,31217534.0,23155470.0,29786983.0
14. Lợi nhuận khác,14. Other profit ,12826050.0,35065389.0,26866633.0,3757187.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,1685585211.0,1484625110.0,1145028260.0,2322917663.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,240040059.0,185937868.0,169226703.0,303587295.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-5538661.0,-3960382.0,2044716.0,6410483.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,1451083813.0,1302647623.0,973756841.0,2012919885.0
Lợi ích của cổ đông thiểu số,Minority's interest,88049058.0,76442685.0,54565808.0,37687544.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,1363034755.0,1226204938.0,919191033.0,1975232341.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),6084.0,5473.0,4998.0,10266.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,6.0,1.0,5.0,10.0
