item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,6072.69,5488.69,4998.92,10808.35
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),44494.7,40068.97,45930.55,41959.41
Chỉ số giá thị trường trên thu nhập (P/E),P/E,9.24,12.85,14.88,6.46
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.26,1.76,1.62,1.66
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.05,1.26,1.39,0.97
Tỷ suất cổ tức,Dividend yield,0.04,0.06,0.0,0.03
Beta,Beta,0.91,1.04,1.16,1.11
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,7.26,11.25,12.66,6.12
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,9.63,5.39
Tỷ suất lợi nhuận gộp biên,Gross profit margin,16.49,15.14,14.88,22.49
Tỷ lệ lãi EBIT,EBIT margin,14.47,12.45,12.74,18.29
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,18.48,16.1,16.75,20.76
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,12.07,10.41,9.71,15.21
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,14.36,13.95,11.29,29.09
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),18.23,17.54,15.41,34.71
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,10.63,10.14,7.81,19.44
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-3.89,24.72,-24.17,46.13
Tăng trưởng  lợi nhuận gộp,Gross profit,4.65,26.94,-49.84,69.49
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,13.54,29.66,-50.71,81.54
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,11.16,33.4,-53.46,79.74
Tăng trưởng tổng tài sản,Total assets,9.71,2.44,3.1,32.57
Tăng trưởng nợ dài hạn,Long-term liabilities,-7.97,-52.06,-37.84,9.88
Tăng trưởng nợ phải trả,Liabilities,5.99,-3.31,-13.82,36.28
Tăng trưởng vốn chủ sở hữu,Owner's equity,11.05,4.69,11.65,30.77
Tăng trưởng vốn điều lệ,Charter capital,0.0,20.0,2.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.59,0.18,0.07,0.15
Tỷ số thanh toán nhanh,Quick ratio,1.94,1.67,1.28,1.3
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.29,0.91,0.71,0.63
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.76,2.59,2.44,2.07
Khả năng thanh toán lãi vay,Interest coverage,32.19,21.25,9.59,24.92
