item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,910.89,729.8,738.57,779.98
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14507.0,14187.0,13839.0,14287.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,17.46,20.96,23.02,23.46
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.1,1.08,1.23,1.28
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,11.4,12.9,10.86,14.32
Tỷ suất cổ tức,Dividend yield,0.04,0.04,0.05,0.05
Beta,Beta,0.73,0.57,0.61,0.52
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,37.44,47.14,60.48,369.56
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,39.11,49.85,222.95
Tỷ suất lợi nhuận gộp biên,Gross profit margin,21.89,13.28,15.34,18.72
Tỷ lệ lãi EBIT,EBIT margin,30.13,26.68,17.5,3.86
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,30.96,27.21,18.48,6.4
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,25.64,24.75,16.35,1.54
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.47,2.09,1.79,0.08
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.89,2.22,1.92,0.34
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.25,1.86,1.61,0.08
ROE bình quân 4 quý gần nhất,ROE Trailling,6.51,5.24,5.3,5.59
ROA bình quân 4 quý gần nhất,ROA Trailling,5.79,4.67,4.73,4.98
Tăng trưởng  doanh thu thuần,Net revenue,9.6,7.4,31.65,26.97
Tăng trưởng  lợi nhuận gộp,Gross profit,121.13,-10.23,17.02,28.77
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,133.49,-6.47,-3.63,-87.47
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,104.34,-2.91,-14.13,-96.38
Tăng trưởng tổng tài sản,Total assets,2.35,0.76,-1.36,-1.72
Tăng trưởng nợ dài hạn,Long-term liabilities,-15.9,-6.17,-5.33,22.75
Tăng trưởng nợ phải trả,Liabilities,9.93,8.21,-8.33,-3.75
Tăng trưởng vốn chủ sở hữu,Owner's equity,1.64,0.1,-0.24,-1.55
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.44,0.82,0.52,0.59
Tỷ số thanh toán nhanh,Quick ratio,5.61,6.0,4.3,7.88
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",4.92,5.13,3.65,6.91
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,7.64,8.25,5.7,10.62
Khả năng thanh toán lãi vay,Interest coverage,68.98,71.56,68.42,13.43
