item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,34112186396.0,31490793258.0,24339768830.0,20563916459.0
I. Tài sản tài chính ngắn hạn,Short-term financial assets,34109710475.0,31486987908.0,24336367649.0,20561387223.0
1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,2049092199.0,909902607.0,1053870186.0,487051071.0
1.1. Tiền,1.1. Cash,1179092199.0,183902607.0,303870186.0,65051071.0
1.2. Các khoản tương đương tiền,1.2. Cash equivalents,870000000.0,726000000.0,750000000.0,422000000.0
Các khoản đầu tư tài chính ngắn hạn,Short-term investments,,,,
+Đầu tư ngắn hạn,+ Short-term investments,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,+ Short-term investments of trust investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,Provision for diminution in value of short-term investments ,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),14690566905.0,12410159921.0,12921903482.0,12622890207.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3. Held to maturity investments (HTM),516000000.0,924000000.0,840000000.0,760000000.0
4. Các khoản cho vay,4. Loans,15380287110.0,16142608032.0,9281572562.0,6233046292.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),5. Available-for-sale financial assets (AFS),,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,6. Provisions for impairment loss of financial assets and mortgages,-2734405.0,-2734405.0,-2734405.0,-2734405.0
7. Các khoản phải thu ngắn hạn,7. Short-term receivables,1462242468.0,1083479371.0,238976340.0,452061271.0
7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from disposal of financial assets ,1267265167.0,887734475.0,,251646610.0
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Receivables and accruals from dividends and interest income,194977301.0,195744896.0,238976340.0,200414661.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",7.2.1. Due dividend and interest receivables,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","In which: Doubtful Receivables of dividends, interest to date of receipt but not yet received",,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Undue dividend and interest receivables,194977301.0,195744896.0,238976340.0,200414661.0
Trả trước cho người bán,Prepayments to suppliers,63334.0,4386737.0,180491.0,16830.0
9. Phải thu các dịch vụ CTCK cung cấp,9. Service related receivable,15706346.0,17160764.0,15596030.0,15692654.0
Phải thu hoạt động giao dịch chứng khoán,Receivables from securities trading activities,,,,
10. Phải thu nội bộ ngắn hạn,10. Short -term inter-company receivables,,,,
11. Phải thu về lỗi giao dịch chứng khoán,11. Receivables of securities trading error,,,,
12. Các khoản phải thu khác,12. Other receivables,11616812.0,11155175.0,133257.0,6525399.0
13. Dự phòng suy giảm giá trị các khoản phải thu,13. Provision for doubtful debts,-13130293.0,-13130293.0,-13130293.0,-13162095.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Provision for short-term doubtful debts,,,,
Phải thu khách hàng,Trade accounts receivable,,,,
Hàng tồn kho,Inventories,,,,
Hàng tồn kho (chi tiết),Inventories (Detail),,,,
Dự phòng giảm giá hàng tồn kho,Provision for decline in value of inventories ,,,,
II. Tài sản ngắn hạn khác,II. Other short-term assets,2475920.0,3805350.0,3401181.0,2529236.0
1. Tạm ứng,1. Advances,265000.0,495000.0,165500.0,85000.0
"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools",109894.0,109894.0,45174.0,46801.0
3. Chi phí trả trước ngắn hạn,3. Short-term prepayments,2101026.0,3200456.0,3142718.0,2366677.0
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn","4. Pledged assets, mortgages, security deposits in short term",,,,
8. Thuế GTGT còn được khấu trừ,8. Value Added Tax to be reclaimed,,,,
Thuế và các khoản khác phải thu của nhà nước,Taxes and other receivables from state authorities,,,47789.0,30758.0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),Transaction buy backs governmental bond,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,6. Provision for other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS,54860841.0,43879780.0,45429129.0,46822072.0
I. Tài sản tài chính dài hạn,I. Long-term financial assets,1500000.0,1500000.0,1500000.0,1500000.0
1. Các khoản phải thu dài hạn,1. Long-term receivables,,,,
1.1. Phải thu dài hạn của khách hàng,1.1. Long-term trade receivables,,,,
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,1.2. Capital at inter-company,,,,
