item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,34112186396.0,19558155309.0,9041916205.0,8120725819.0
I. Tài sản tài chính ngắn hạn,Short-term financial assets,34109710475.0,19555958327.0,9040954799.0,8120406138.0
1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,2049092199.0,693527828.0,139539567.0,1349906925.0
1.1. Tiền,1.1. Cash,1179092199.0,683527828.0,139539567.0,1349906925.0
1.2. Các khoản tương đương tiền,1.2. Cash equivalents,870000000.0,10000000.0,,
Các khoản đầu tư tài chính ngắn hạn,Short-term investments,,,,
+Đầu tư ngắn hạn,+ Short-term investments,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,+ Short-term investments of trust investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,Provision for diminution in value of short-term investments ,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),14690566905.0,12517051695.0,5791236721.0,4892226747.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3. Held to maturity investments (HTM),516000000.0,422000000.0,,
4. Các khoản cho vay,4. Loans,15380287110.0,5773916799.0,3008028333.0,1793853655.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),5. Available-for-sale financial assets (AFS),,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,6. Provisions for impairment loss of financial assets and mortgages,-2734405.0,-2734405.0,-2734405.0,-2734405.0
7. Các khoản phải thu ngắn hạn,7. Short-term receivables,1462242468.0,142868418.0,101761823.0,85328651.0
7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from disposal of financial assets ,1267265167.0,,36042935.0,
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Receivables and accruals from dividends and interest income,194977301.0,142868418.0,65718888.0,85328651.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",7.2.1. Due dividend and interest receivables,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","In which: Doubtful Receivables of dividends, interest to date of receipt but not yet received",,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Undue dividend and interest receivables,194977301.0,142868418.0,65718888.0,85328651.0
Trả trước cho người bán,Prepayments to suppliers,63334.0,330125.0,1013583.0,216513.0
9. Phải thu các dịch vụ CTCK cung cấp,9. Service related receivable,15706346.0,15749448.0,15097043.0,14488874.0
Phải thu hoạt động giao dịch chứng khoán,Receivables from securities trading activities,,,,
10. Phải thu nội bộ ngắn hạn,10. Short -term inter-company receivables,,,,
11. Phải thu về lỗi giao dịch chứng khoán,11. Receivables of securities trading error,,,,
12. Các khoản phải thu khác,12. Other receivables,11616812.0,6410515.0,203236.0,310621.0
13. Dự phòng suy giảm giá trị các khoản phải thu,13. Provision for doubtful debts,-13130293.0,-13162095.0,-13191102.0,-13191442.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Provision for short-term doubtful debts,,,,
Phải thu khách hàng,Trade accounts receivable,,,,
Hàng tồn kho,Inventories,,,,
Hàng tồn kho (chi tiết),Inventories (Detail),,,,
Dự phòng giảm giá hàng tồn kho,Provision for decline in value of inventories ,,,,
II. Tài sản ngắn hạn khác,II. Other short-term assets,2475920.0,2196982.0,961407.0,319682.0
1. Tạm ứng,1. Advances,265000.0,275000.0,346000.0,30000.0
"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools",109894.0,31647.0,30987.0,32615.0
3. Chi phí trả trước ngắn hạn,3. Short-term prepayments,2101026.0,1835557.0,529671.0,257067.0
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn","4. Pledged assets, mortgages, security deposits in short term",,,,
8. Thuế GTGT còn được khấu trừ,8. Value Added Tax to be reclaimed,,,,
Thuế và các khoản khác phải thu của nhà nước,Taxes and other receivables from state authorities,,54778.0,54748.0,
Giao dịch mua bán lại trái phiếu Chính phủ (TS),Transaction buy backs governmental bond,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,6. Provision for other short-term assets,,,,
