item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3804.67,2590.72,425.75,-4177.35
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),42004.64,31607.01,28162.52,27507.35
Chỉ số giá thị trường trên thu nhập (P/E),P/E,54.93,38.6,253.67,-26.21
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,4.98,3.16,3.83,3.98
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.51,0.75,1.0,1.48
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.88,0.63,0.32,0.2
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,29.07,18.3,32.97,-60.34
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,24.8,16.31,28.38,-64.4
Tỷ suất lợi nhuận gộp biên,Gross profit margin,10.32,9.93,4.32,-4.97
Tỷ lệ lãi EBIT,EBIT margin,7.61,6.99,4.38,-3.15
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,8.93,7.84,5.09,-2.95
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,2.59,1.95,0.4,-5.63
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,10.11,8.67,1.53,-14.25
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),7.88,8.84,5.97,-3.43
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.78,1.51,0.3,-3.78
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,13.95,23.49,45.34,211.78
Tăng trưởng  lợi nhuận gộp,Gross profit,18.39,183.78,26.46,-197.77
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,44.32,200.71,-77.12,-1568.38
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,51.27,508.51,-89.81,-3133.45
Tăng trưởng tổng tài sản,Total assets,40.42,14.25,27.76,31.72
Tăng trưởng nợ dài hạn,Long-term liabilities,39.61,48.4,44.41,17.87
Tăng trưởng nợ phải trả,Liabilities,39.43,14.68,34.88,52.7
Tăng trưởng vốn chủ sở hữu,Owner's equity,45.17,12.23,2.38,-11.6
Tăng trưởng vốn điều lệ,Charter capital,9.23,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.24,0.14,0.13,0.06
Tỷ số thanh toán nhanh,Quick ratio,1.13,1.09,1.03,1.07
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.29,0.25,0.15,0.08
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.17,1.15,1.05,1.1
Khả năng thanh toán lãi vay,Interest coverage,1.73,1.57,1.31,-0.91
