item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,6451.91,4665.53,3050.07,-497.33
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),15068.55,14065.78,13000.08,11326.5
Chỉ số giá thị trường trên thu nhập (P/E),P/E,7.46,9.22,11.84,-48.26
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,3.19,3.06,2.78,2.12
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.54,1.54,1.68,0.88
Tỷ suất cổ tức,Dividend yield,0.14,0.04,0.0,0.08
Beta,Beta,1.04,1.31,0.94,0.66
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,5.72,6.99,9.56,-40.29
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,29.25,26.97,21.15,23.67
Tỷ lệ lãi EBIT,EBIT margin,25.9,21.11,17.24,-1.82
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,26.63,22.43,19.46,0.06
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,20.71,16.72,14.21,-1.82
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,44.29,34.48,25.07,-3.86
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),54.34,43.14,30.43,-3.86
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,27.81,23.92,18.52,-2.94
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,11.66,29.96,-21.29,35.32
Tăng trưởng  lợi nhuận gộp,Gross profit,21.1,65.74,-29.69,23.11
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,36.95,59.13,643.91,-111.53
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,38.29,52.94,512.91,-114.42
Tăng trưởng tổng tài sản,Total assets,17.13,21.16,15.28,-17.42
Tăng trưởng nợ dài hạn,Long-term liabilities,24.16,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,36.39,57.48,16.93,-2.22
Tăng trưởng vốn chủ sở hữu,Owner's equity,7.13,8.2,14.7,-21.68
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,-0.17,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.2,0.26,0.15,1.0
Tỷ số thanh toán nhanh,Quick ratio,1.73,1.99,2.11,1.84
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.65,1.93,1.88,1.4
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.77,2.12,2.29,2.0
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,0.0
