item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),1. Insurance premium (01=01.1+01.2-01.3),675550133.0,821312806.0,821250167.0,1091953247.0
- Thu phí bảo hiểm gốc,1. Gross written premium,,,,
- Thu phí nhận tái bảo hiểm,2. Reinsurance premium assumed,561180254.0,853268663.0,854216785.0,1391518812.0
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,- Increase/(Decrese) in gross unearned premium reserve,-114369880.0,31955858.0,32966618.0,299565565.0
2. Phí nhượng tái bảo hiểm,2. Reinsurance premium ceded,318247243.0,460975636.0,325063474.0,369657440.0
- Phí nhượng tái bảo hiểm,  - Reinsurance premium ceded,283889889.0,568442385.0,296931051.0,385027079.0
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,-Increase/(Decrease) in ceded unearned premium reserve,-34357354.0,107466749.0,-28132423.0,15369639.0
Các khoản giảm trừ,3. Deductions,,,,
- Giảm phí Bảo hiểm,  - Premium deduction,,,,
- Hoàn phí Bảo hiểm,  - Premium returns,,,,
- Các khoản giảm trừ khác,  - Others,,,,
"Tăng (giảm) dự phòng phí, dự phòng toán học",4. Increase (Decrease) in unearned premium reserve and technical reserve,,,,
3. Doanh thu phí bảo hiểm thuần (03=01-02),3. Net insurance premium  (03=01-02),357302890.0,360337169.0,496186692.0,722295807.0
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),4. Commission on reinsurance ceded and other insurance income (04=04.1+04.2),80018912.0,180067971.0,136703560.0,131060846.0
- Thu hoa hồng nhượng tái Bảo hiểm,5. Commissions on reinsurance ceded,77064401.0,176681816.0,83156876.0,97743748.0
- Thu khác hoạt động kinh doanh Bảo hiểm,6. Other income,2954512.0,3386155.0,53546684.0,33317098.0
+ Thu khác nhận tái Bảo hiểm,  - Income on reinsurance assumed,,,,
+ Thu khác nhượng tái bảo hiểm,  - Income on reinsurance ceded,,,,
"+ Thu khác (giám định, đại lý,…)",  - Income from other activities,2954512.0,3386155.0,53546684.0,33317098.0
5. Doanh thu thuần HĐKD BH (10=03+04),7. Total net revenue from insurance business ,437321803.0,540405140.0,632890252.0,853356653.0
5.1. Doanh thuần BH và CCDV,7.1.Revenue,,,,
6. Chi bồi thường,11. Claim expenses on retained risks,248227962.0,315512503.0,351081459.0,387639660.0
- Tổng chi bồi thường,Total claim expenses,248227962.0,315512503.0,351081459.0,387639660.0
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm",8. Claim and maturity payment expenses,248227962.0,315512503.0,351081459.0,387639660.0
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",9. Claim expenses for reinsurance assumed,,,,
- Các khoản giảm trừ,10. Deductions,,,,
+ Thu đòi người thứ ba bồi hoàn,  - Subrogation recoveries,,,,
+ Thu hàng đã xử lý bồi thường 100%,  - Salvages,,,,
7. Thu bồi thường nhượng tái bảo hiểm,  - Recoveries from reinsurance ceded,147128128.0,146647704.0,131771812.0,198022533.0
Tăng (giảm) dự phòng toán học (dành riêng BVH),Increase(Decrease) in mathematical reserve,,,,
8. Tăng (giảm) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,8. Increase(Decrease) in claim reserves for direct insurance and reinsurance assumed,1385245.0,52650599.0,59743940.0,3789461.0
9. Tăng (giảm) dự phòng bồi thường nhượng tái bảo hiểm,9. Increase(Decrease) in claim reserves related to reinsurance  ceded,-70241948.0,23311462.0,38634887.0,-25818449.0
9.1. Tăng (giảm) dự phòng bồi thường,13. Increase in claim reserve,71627193.0,29339137.0,21109053.0,29607910.0
10. Tổng chi bồi thường bảo hiểm (15=11-12+13-14),Total claim insurance expenses,172727027.0,198203936.0,240418700.0,219225037.0
11. Tăng (giảm) dự phòng dao động lớn,14. Provision for catastrophe reserve,2776022.0,2860051.0,5587681.0,10068670.0
Chi bồi thường từ dự phòng dao động lớn,12. Claim expenses using catastrophe reserve,,,,
12. Chi khác hoạt động kinh doanh bảo hiểm,15. Other insurance operating expenses,198966350.0,296178771.0,347702174.0,593562146.0
- Chi hoa hồng bảo hiểm,   + Commission,194652604.0,275948255.0,281188903.0,539263543.0
- Chi phí khác hoạt động kinh doanh bảo hiểm,Other insurance operating expenses,4313746.0,20230515.0,66513271.0,54298603.0
