item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,27724524000.0,31490644000.0,29904272000.0,25538045000.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,1700231000.0,5198588000.0,1806735000.0,1141683000.0
1. Tiền,1. Cash,1209231000.0,4417588000.0,1206735000.0,521754000.0
2. Các khoản tương đương tiền,2. Cash equivalents,491000000.0,781000000.0,600000000.0,619929000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,1975541000.0,1745487000.0,2341957000.0,2498968000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,1406325000.0,1406325000.0,1406325000.0,1406325000.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,569216000.0,339162000.0,935632000.0,1092643000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,17966522000.0,17724883000.0,19274117000.0,15389176000.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,923389000.0,1092508000.0,1218842000.0,900507000.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,4049356000.0,3388518000.0,1056785000.0,1061284000.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,10699826000.0,11284826000.0,15514826000.0,11796401000.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,2333288000.0,1998095000.0,1524341000.0,1669141000.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-39337000.0,-39064000.0,-40677000.0,-38157000.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,5490260000.0,5748318000.0,5678723000.0,5691533000.0
1. Hàng tồn kho,1. Inventories,5490260000.0,5748318000.0,5678723000.0,5691533000.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,591970000.0,1073368000.0,802740000.0,816685000.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,140513000.0,553036000.0,238784000.0,207583000.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,343109000.0,441715000.0,485339000.0,530484000.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,108348000.0,78617000.0,78617000.0,78618000.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,59165857000.0,57128863000.0,47565868000.0,52531234000.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,13319608000.0,10406324000.0,222714000.0,4533495000.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,9646099000.0,9646099000.0,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,3047000000.0,660000000.0,100000000.0,4391000000.0
6. Phải thu dài hạn khác,6. Other long-term receivables,626509000.0,100225000.0,122714000.0,142495000.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,33144763000.0,33751835000.0,34777157000.0,35352342000.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,32091065000.0,32679695000.0,33729909000.0,34310785000.0
      - Nguyên giá,    - Cost,47247334000.0,47127622000.0,47473483000.0,47319049000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-15156269000.0,-14447927000.0,-13743574000.0,-13008264000.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,263801000.0,269770000.0,275739000.0,281643000.0
      - Nguyên giá,    - Cost,346134000.0,346134000.0,346134000.0,346134000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-82333000.0,-76364000.0,-70395000.0,-64491000.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,789897000.0,802370000.0,771509000.0,759914000.0
      - Nguyên giá,    - Cost,1195760000.0,1195083000.0,1148578000.0,1122399000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-405863000.0,-392713000.0,-377069000.0,-362485000.0
III. Bất động sản đầu tư,III. Investment properties,542319000.0,550110000.0,559912000.0,571440000.0
      - Nguyên giá,    - Cost,779898000.0,779898000.0,782074000.0,787397000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-237579000.0,-229788000.0,-222162000.0,-215957000.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,4984749000.0,5185337000.0,4815949000.0,4960479000.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,4984749000.0,5185337000.0,4815949000.0,4960479000.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,1877467000.0,1787467000.0,1623733000.0,1435403000.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,1877467000.0,1787467000.0,1623733000.0,1435403000.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,5296951000.0,5447790000.0,5566403000.0,5678075000.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,790861000.0,792884000.0,777246000.0,754835000.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,120544000.0,135108000.0,135108000.0,134940000.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
