item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,4001843016.0,5505921439.0,2856221396.0,2184149555.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,915803506.0,793464303.0,676759174.0,883423560.0
1. Tiền,1. Cash,491503506.0,369424303.0,325290174.0,393723560.0
2. Các khoản tương đương tiền,2. Cash equivalents,424300000.0,424040000.0,351469000.0,489700000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,1337461754.0,2411895019.0,1721383996.0,853380702.0
1. Chứng khoán kinh doanh,1. Available for sale securities,975849649.0,2073537528.0,1404542929.0,692356007.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),-64547895.0,-13502510.0,-2308932.0,-11125305.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,426160000.0,351860000.0,319150000.0,172150000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1633399017.0,2188142887.0,348420871.0,336164556.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,214386592.0,246339881.0,263793638.0,229779044.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,10100939.0,954783645.0,18346837.0,26804944.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1413623208.0,991221040.0,70211876.0,83331914.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-4711723.0,-4201679.0,-3931480.0,-3751346.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,49550513.0,50391322.0,44757120.0,45730681.0
1. Hàng tồn kho,1. Inventories,49550513.0,50391322.0,44757120.0,45730681.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,65628226.0,62027908.0,64900235.0,65450056.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,19972441.0,15955316.0,17947750.0,17807525.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,45501163.0,44493511.0,45631289.0,46303757.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,154623.0,1579082.0,1321196.0,1338774.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,8961066042.0,5820251802.0,5918866652.0,6028145626.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,918039056.0,3654576.0,3654576.0,3624576.0
