item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,17835354208.0,21477429895.0,23058365916.0,17319198677.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,21810476.0,17362978.0,27713917.0,15681796.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,17813543732.0,21460066917.0,23030651999.0,17303516881.0
4. Giá vốn hàng bán ,4. Cost of goods sold,16031932790.0,19828321641.0,21211961777.0,15791471673.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,1781610942.0,1631745276.0,1818690222.0,1512045208.0
6.Doanh thu hoạt động tài chính ,6. Financial income,119055406.0,165049956.0,226161195.0,184910216.0
7. Chi phí tài chính ,7. Financial expenses,225147587.0,296034591.0,386638235.0,294399569.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,125991597.0,191513340.0,184769418.0,128535434.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,7094465.0,7676370.0,7121074.0,4893130.0
9. Chi phí bán hàng ,9. Selling expenses,1108630990.0,1058090805.0,1066628525.0,979805792.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,505470767.0,446675119.0,528829812.0,402283760.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,68511469.0,3671086.0,69875920.0,25359432.0
12. Thu nhập khác ,12. Other income,25932646.0,108112337.0,92363955.0,42596685.0
13. Chi phí khác ,13.Other expenses,8176214.0,52674836.0,69891849.0,20350193.0
14. Lợi nhuận khác,14. Other profit ,17756432.0,55437501.0,22472106.0,22246492.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,86267901.0,59108587.0,92348026.0,47605924.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,24367021.0,28827059.0,28993763.0,24404658.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-168866.0,456494.0,1012232.0,2092853.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,62069746.0,29825034.0,62342032.0,21108412.0
Lợi ích của cổ đông thiểu số,Minority's interest,33555123.0,25514177.0,39211855.0,30332554.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,28514623.0,4310857.0,23130176.0,-9224142.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),57.03,9.0,46.0,-18.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
