item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1267737398.0,1099736291.0,1461950650.0,1073888572.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,68210983.0,368164660.0,133464884.0,131476932.0
1. Tiền,1. Cash,3710983.0,14864660.0,8410103.0,19476932.0
2. Các khoản tương đương tiền,2. Cash equivalents,64500000.0,353300000.0,125054781.0,112000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,397346000.0,39000000.0,35000000.0,36500000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,397346000.0,39000000.0,35000000.0,36500000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,699999848.0,584865386.0,1188895800.0,805529924.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,672397395.0,579658366.0,1172099733.0,795915182.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,28101052.0,10677334.0,21310082.0,14469582.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,8609646.0,3637931.0,4594229.0,4253405.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-9108244.0,-9108244.0,-9108244.0,-9108244.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,102169661.0,107695495.0,104579378.0,100371285.0
1. Hàng tồn kho,1. Inventories,102169661.0,107695495.0,104579378.0,100371285.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,10906.0,10750.0,10588.0,10431.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,,,,
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,10906.0,10750.0,10588.0,10431.0
