item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,780223910.0,733852601.0,670029172.0,765489531.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,7397972.0,5017563.0,9841023.0,5774325.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,772825938.0,728835038.0,660188149.0,759715207.0
4. Giá vốn hàng bán ,4. Cost of goods sold,583971981.0,557675047.0,527257341.0,587598229.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,188853957.0,171159991.0,132930807.0,172116977.0
6.Doanh thu hoạt động tài chính ,6. Financial income,11212173.0,11781244.0,12297310.0,12204402.0
7. Chi phí tài chính ,7. Financial expenses,4514405.0,5261903.0,4719640.0,4742437.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,2034408.0,2721302.0,2441409.0,1957652.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,128162253.0,108947138.0,91583105.0,109572729.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,31542981.0,43482605.0,30740762.0,47000283.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,35846491.0,25249588.0,18184611.0,23005930.0
12. Thu nhập khác ,12. Other income,810744.0,665492.0,1123091.0,655948.0
13. Chi phí khác ,13.Other expenses,282246.0,55163.0,41600.0,13684.0
14. Lợi nhuận khác,14. Other profit ,528498.0,610329.0,1081491.0,642265.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,36374989.0,25859917.0,19266102.0,23648195.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,9707012.0,5959879.0,4035525.0,1054945.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-1616347.0,-325733.0,192818.0,4026738.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,28284323.0,20225772.0,15037758.0,18566512.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,28284323.0,20225772.0,15037758.0,18566512.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,,116.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,0.0
