item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1467.66,1387.76,946.57,919.54
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14776.3,14652.04,14327.21,14414.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,7.77,10.59,10.04,7.96
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.77,1.0,0.66,0.51
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.81,1.05,0.7,0.5
Tỷ suất cổ tức,Dividend yield,0.09,0.05,0.08,0.11
Beta,Beta,0.69,0.81,1.14,1.14
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.44,3.06,2.45,3.44
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,24.42,22.98,18.37,16.62
Tỷ lệ lãi EBIT,EBIT margin,14.33,14.19,11.48,10.23
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,25.24,29.55,33.26,32.14
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,10.37,9.91,7.02,6.21
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,9.97,9.58,6.59,6.38
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),12.58,11.86,8.83,8.52
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,7.39,6.8,4.53,4.25
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,1.01,3.91,-8.77,24.73
Tăng trưởng  lợi nhuận gộp,Gross profit,7.36,29.95,0.87,50.92
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,5.79,44.05,4.49,-42.42
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,5.76,46.61,3.07,-43.28
Tăng trưởng tổng tài sản,Total assets,-3.65,-1.7,-2.87,-3.62
Tăng trưởng nợ dài hạn,Long-term liabilities,-45.63,-32.87,-24.53,16.55
Tăng trưởng nợ phải trả,Liabilities,-15.46,-10.8,-7.7,-11.03
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.85,2.27,-0.6,0.31
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,3.32,2.97,2.62,2.09
Tỷ số thanh toán nhanh,Quick ratio,3.58,3.31,3.01,2.57
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",3.32,2.97,2.62,2.09
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.85,3.62,3.33,2.97
Khả năng thanh toán lãi vay,Interest coverage,14.3,9.69,4.99,4.63
