item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3347.88,3160.06,3337.4,3283.04
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14519.0,14354.0,13778.0,13477.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,29.51,31.08,35.36,42.28
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,6.8,6.84,8.56,10.3
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,2.04,2.43,2.88,3.35
Tỷ suất cổ tức,Dividend yield,0.01,0.0,0.01,0.01
Beta,Beta,-0.27,-0.24,0.73,0.74
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,63.24,100.43,109.65,169.53
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,6.2,4.68,5.45,5.25
Tỷ lệ lãi EBIT,EBIT margin,3.63,2.58,2.85,2.1
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,4.5,3.65,3.78,2.89
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,2.6,1.73,2.0,1.38
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,8.72,4.98,6.01,4.29
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),9.42,5.82,7.21,6.08
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.15,1.27,1.49,1.06
ROE bình quân 4 quý gần nhất,ROE Trailling,23.86,23.11,25.37,25.26
ROA bình quân 4 quý gần nhất,ROA Trailling,5.9,5.82,6.32,6.13
Tăng trưởng  doanh thu thuần,Net revenue,3.3,-9.24,0.76,7.86
Tăng trưởng  lợi nhuận gộp,Gross profit,6.19,-17.1,18.11,58.66
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,14.5,-18.56,7.41,20.52
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,17.54,-20.2,7.11,18.62
Tăng trưởng tổng tài sản,Total assets,18.59,12.2,-5.37,3.47
Tăng trưởng nợ dài hạn,Long-term liabilities,605.58,690.48,565.81,145.09
Tăng trưởng nợ phải trả,Liabilities,21.15,10.6,-8.33,4.45
Tăng trưởng vốn chủ sở hữu,Owner's equity,10.94,17.0,4.74,0.57
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.07,0.13,0.09,0.12
Tỷ số thanh toán nhanh,Quick ratio,1.06,1.01,0.99,0.91
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.47,0.51,0.43,0.39
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.09,1.07,1.05,1.03
Khả năng thanh toán lãi vay,Interest coverage,9.28,6.95,8.7,6.14
