Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
ACE,2024,5,0.786772742,1.5835239582,0.2153069705884106,2.3461782389165267,1.735466896,23.3921847687,110.56396740602993,80.2185500078,33.2933304831,224.07584789692993,4.5500697777,0.07183586176990184,0.1746693839514956,0.0499287130607489,0.213655082,0.1756435746,0.0866496287,27153720302.0,21965911079,0.0806674657,1.4764939631,0.363820616,0.9873750614,-6.076598038961671,2.583523958231624,132367286028.0,3050781.0,11.0608761248,1.8493053631,0.4328852114,3.5292155862,5004.345135884877,23461.7823891653,5.3851800405,year,ACE
ACE,2023,5,0.6191133256,1.3475520937,0.15045038459916615,2.3383301646693093,1.7253019834,23.4901273336,108.34306968643925,97.9725602205,33.2044715849,239.52010149183926,3.7255329368,0.07558762957837892,0.1802734536684369,0.05032600471097876,0.208222059,0.1962697433,0.0868275557,27105922889.0,22334722599,0.0969797728,1.5801937735,0.125141889,0.9799190913,-5.553743198427314,2.347552093728185,110102686290.0,3050781.0,8.7588934564,1.5434090765,0.3726216446,4.8545024938,4874.288802768865,23383.3016466931,5.2139549754,year,ACE
ACE,2022,5,0.8183007901,1.448557312,0.20176572026835202,2.343487723733693,1.7549758717,20.1168657057,89.26072788912067,94.6614491839,34.9721574916,218.8943345646207,3.8558463149,0.07676939977433256,0.15312987410820703,0.05507935248659439,0.2388684446,0.1849899339,0.0966629346,29813235151.0,24048474950,0.0962543314,1.4822732584,0.171136215,0.7798005943,-7.679825695491309,2.4485573119506503,110932498722.0,3050781.0,7.9499064991,1.5516189665,0.3541272933,-7.9037539402,5655.58050151748,23434.8772373369,5.1083713285,year,ACE
ACE,2021,5,0.5428876311,1.4932827248,0.22911626925483414,2.3918221325948994,1.313639024,16.0221565615,112.3510276616049,102.9088189455,46.5055702479,261.7654168550049,3.5468291614,0.10709345760378547,0.21666811920738305,0.07653203518327129,0.2643595936,0.2389471116,0.100535468,32135086662.0,26901468983,0.1216216216,1.4602193198,0.2722456881,0.867173687,-13.239346571243678,2.493282724754083,112878897000.0,3050781.0,7.3181294265,1.5469377717,0.4493654743,-8.0938044696,6301.519505661009,23918.221325949,3.8404159051,year,ACE
ACE,2020,5,0.5339455055,1.7666811599,0.2019733713948426,2.375562641041753,1.629010691,20.9087522514,96.74570283667445,82.1930890379,30.0576134042,208.99640527877446,4.4407626514,0.08391734835201714,0.19632840999091414,0.06471333245169526,0.2679059438,0.2224527475,0.1054187104,30010832433.0,24730063132,0.1254530248,1.7119623338,0.609129749,1.265745644,-14.862760106863226,2.766681159898208,109431514470.0,3050781.0,7.1660974769,1.5099580782,0.3713376093,1.7458557926,6251.096514630188,23755.6264104175,2.8514820582,year,ACE
ACE,2019,5,0.5483698801,1.3077110962,0.19387571323298422,2.2910725413590813,1.8363129695,18.4499466251,91.11369817393071,97.6662950151,33.7855645669,222.56555775593074,3.7372155864,0.05992384256209325,0.19252751954579175,0.05363215494107609,0.220141969,0.1580763503,0.0984854217,23250661126.0,17107694568,0.0974445175,1.5751868502,0.2033320169,0.9067807733,-8.218828933894965,2.3077110962058867,125231509269.0,3050781.0,11.362492496,1.7916935959,0.4386536839,7.6998750479,5018.871171021453,22910.7254135908,6.2740706034,year,ACE
ACE,2018,5,0.470677671,1.1621205508,0.25135895715110074,2.268595198344293,1.8553851554,13.7970172402,92.16138953847779,86.7792407869,37.0045230959,215.9451534212778,4.2060750554,0.06129685694078758,0.17068579894915276,0.051347636688091954,0.1826498234,0.1505026097,0.0952696429,21091477674.0,15318970182,0.0852639528,1.570644874,0.1058423078,0.7842778659,-12.135628794483273,2.16212055075107,125231509269.0,3050781.0,13.4188363942,1.8094457764,0.5010975161,-7.3816338196,4206.305300839359,22685.9519834429,7.1060991158,year,ACE
ACE,2017,5,0.0,0.6794526589,0.2640876665302397,2.337273258421368,2.0393970533,14.6918239971,92.26500084340778,62.4764427206,26.6030548159,181.34449837990778,5.8422020222,0.06857012476708806,0.15565615265290283,0.058449778043474246,0.2120832676,0.2469734152,0.1192023051,23719754782.0,17610461224,0.0852639528,1.9780522594,0.1341242728,1.2424166099,-19.095486379628706,1.6794526588591547,125231509269.0,3050781.0,11.0713511541,1.7562773138,0.4876158612,5.33551548,4920.481735660475,23372.7325842137,5.0555123244,year,ACE
ACE,2016,5,0.15381253290000002,0.8804126681,0.22960074239405667,2.3028681277351604,2.0941504933,18.6043390246,100.18216233738836,57.0436766516,31.5935267301,188.81936571908835,6.3986057952,0.08316946983957602,0.20533062504258673,0.07490515053372028,0.303780305,0.2869582388,0.1568626579,29287934534.0,23153694405,0.0730833881,1.8372640582,0.159378227,1.1972698181,-82.69427225460223,1.8804126681137643,125231509269.0,3050781.0,7.3008618862,1.7825163111,0.449839151,5.0141326586,6835.291053667896,23028.6812773516,4.3399406358,year,ACE
ACE,2015,5,0.2560803099,0.9954882625,0.20581838391909524,2.1972860566196,1.9653429185,17.7220709008,107.40683578168814,59.3695720376,43.1886360124,209.96504383168815,6.1479304545,0.09254776363997395,0.1985923281640258,0.07368775514685427,0.3050346108,0.2784342478,0.1448217078,29570014296.0,23444322857,0.0974445175,1.7322918744,0.1570197943,1.2777393437,-22.959671355966755,1.995488262499846,125231509269.0,3050781.0,9.4600693469,1.8681682285,0.4943583225,5.2065592883,6118.656292929581,21972.860566196,4.5002540845,year,ACE
