Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DCV,2025,5,0.3228241617,0.10293375502543417,2.491735967121461,1.0220090407,8.8764054516,0.0,0.0,0.16619701425285513,1,0.10882433981786939,0.1477777707,0.2298227779,0.1112194591,191047734804.0,178675742148,3.5132663483,2.9585413392,3.4819693512,0.0,1.3228241617084744,5449778843238.0,31201143.0,46.5811772289,7.0098117258,5.0691658599,24.6273746019,3749.7120165437527,24917.3596712146,27.6457119529,year,DCV
DCV,2024,5,0.334376489,0.20126462175257032,2.583062494329134,1.0093519981,7.1733164325,0.0,0.0,0.14038003648370248,1,0.18553775544542395,0.2417826246,0.1847733102,0.1872729042,183633375790.0,148917129638,3.1286322547,2.664185614,3.0883775315,0.0,1.3343764890127592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2023,5,0.0,0.16245268595000087,2.6349607364095604,0.0,0.0,0.0,0.0,0.326844272179514,1,0.2889856874694425,0.0,0.0,0.0,0.0,332455504908,0.0,0.0,0.0,0.0,1.2486185507621785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2022,5,0.0,0.10801494277808228,2.5911499040307593,0.0,0.0,0.0,0.0,0.4919608146791981,1,0.3988060059147287,0.0,0.0,0.0,0.0,545011291184,0.0,0.0,0.0,0.0,1.1726574623196653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2021,5,0.0,0.02752035611796475,2.322958410372979,0.0,0.0,0.0,0.0,0.4715376316981478,1,0.2849818477850457,0.0,0.0,0.0,0.0,413893083308,0.0,0.0,0.0,0.0,1.3126178339099446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2020,5,0.0,0.03746840177177289,0.9946610553914643,0.0,0.0,0.0,0.0,0.21720906280136346,1,0.2681223243244148,0.0,0.0,0.0,0.0,19672984979,0.0,0.0,0.0,0.0,1.0619509093214154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2019,5,0.0808487883,0.037717156654452036,0.9168296647401667,0.2958090259,9.4003397219,144.9124580460315,144.9124580460315,0.07636246790342886,1,0.05977701040954046,0.019473475,0.0246366166,0.0176825792,9742935942.0,7047583431,12.5987050304,6.0303832637,7.8854005668,0.0,1.0808487883140236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2018,5,0.1221134701,0.03153259637432972,0.8991479671946634,0.4787101594,15.9872888814,108.14021627315664,108.14021627315664,0.3293001118771985,1,0.34823278350230497,0.1906710041,0.1511305913,0.1667025713,44299795435.0,42398847552,8.4779388088,6.3933522189,8.4199053592,0.0,1.1221134700851125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
DCV,2017,5,0.175811584,0.03826351295343351,0.6081762138265255,0.2468742589,9.7138654785,165.42559367625697,165.42559367625697,-0.3619972246914806,1,0.2827073084650112,0.0782308481,-0.0964012028,0.0697931573,-16644174161.0,-18292892702,6.3088330963,5.3174185074,6.2660720104,0.0,1.175811583976826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,year,DCV
