Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
POV,2025,5,0.015133576499999999,1.3166407753,0.68739336516542,1.495338020780165,9.8961878104,32.819869146,10.238971355224129,6.271417102,16.0914119355,32.60180039272413,58.2005620199,0.0028676707080375137,0.034990147223399,0.002351938892555215,0.0560199302,0.0669492794,0.023275229,29932502418.0,12647540344,0.0,0.879468191,0.001186978,0.7088025021,-34.80309265224867,2.3166407752536533,97346978256.0,12499612.0,9.3846838796,0.5208186973,0.022072203,9.4726957858,829.8627955811749,14953.3802078017,3.3093347561,year,POV
POV,2024,5,0.034131927,1.498771783,0.7648119931878941,1.467403246940785,10.7984090366,30.6382645812,7.8132365992186115,6.6026349252,13.2690976016,27.684969126018615,55.280960425,0.002816134601292782,0.029976914109182608,0.0022430918053086297,0.0550700774,0.0671956637,0.0242218228,31700449578.0,12611045198,0.0375,0.8799883547,0.001338636,0.4256594105,-16.23954224326273,2.4987717829800173,99996896000.0,12499612.0,13.8623920967,0.5451807481,0.0223300063,3.8683988218,803.6152875785265,14674.0324694079,3.2771883017,year,POV
POV,2023,5,0.1175728583,1.045846116,0.8382321898834202,1.451115578643561,10.7646139074,24.7025928688,8.425873051803777,3.8683409421,11.0004154567,23.29462945060378,94.3556954952,0.003063037041040529,0.02705018895494899,0.0036333934534215338,0.0784022425,0.060099359,0.0391120777,27815940663.0,11926890259,0.0352941176,0.8513739925,0.001482474,0.5864392,-7.5227789575245465,2.045846116001122,106246702000.0,12499612.0,10.3065577518,0.5857562364,0.0272860382,6.3742823578,1131.8552030255019,14511.1557864356,4.4235530092,year,POV
POV,2022,5,0.11513450010000001,0.9628311803,0.9091772749638098,1.436187556253746,9.914438402,21.0436790774,9.672337838568922,4.8601811507,11.2347174318,25.767236421068922,75.100081393,0.0053524571877214345,0.02956528600024659,0.005904893000558405,0.1122863015,0.0959816424,0.0585436979,33430882665.0,18430348896,0.0588235294,0.8688666308,0.0054601625,0.5814363261,-15.426118813224939,1.9628311802604752,106246702000.0,12499612.0,7.252544914,0.5918447046,0.0308556787,3.2069294714,1626.656506217953,14361.8755625375,3.5256490484,year,POV
POV,2021,5,0.1243595224,0.8739174052,0.8981875374402466,1.461149846291229,5.5879698829,10.3823713605,15.25432359812562,8.3458832766,14.2796960496,37.87990292432562,43.7341366878,0.015936995045161915,0.04698275736008935,0.014039522633492108,0.1417572363,0.1398528102,0.0784524296,41617492077.0,27521078196,0.1829268293,1.0679656588,0.0008747751,0.6774764314,-15.158990445743617,1.8739174051798182,102496818400.0,12499612.0,5.1542074704,0.5612018521,0.0593541894,5.979752788,1939.6117917100146,14611.4984629123,2.7996706769,year,POV
POV,2020,5,0.2313794074,0.7301628634,1.0576692823452447,1.2753761212508037,3.5406406657,6.5651197974,23.65179492181602,13.8783934883,25.4962927435,63.02648115361602,26.2998739954,-0.00283305188385547,0.03704519646383308,0.000247579928432445,0.001740818,-0.0179345951,0.0008765916,12091001754.0,-3266874969,0.0,0.8539288048,0.0029764516,0.5475335146,0.7806283183467697,1.7301628634105992,156607638748.0,12499612.0,-271.9315323483,0.9823768684,0.1358110029,9.0676986749,22.840041354883656,12753.761212508,14.8085401131,year,POV
POV,2019,5,0.3115159067,1.2277253504,1.0836340398774083,1.3486823477320735,6.3183657094,11.452061248,13.916614392646618,6.7800480214,11.9011199511,32.597782365146614,53.834426961,0.004746545147978739,0.028706495454252107,0.00587435252727496,0.0726516772,0.0494975754,0.0371163076,24427310528.0,9886787106,0.0555555556,0.913223213,0.0018214378,0.5692618261,-2.3490946424236867,2.2277253504248784,112496508000.0,12499612.0,11.7315022724,0.6673179949,0.0540084204,2.9500707139,978.9061108456807,13486.8234773207,5.8672531065,year,POV
POV,2018,5,0.4687081708,0.6865698679,1.0762505989343356,1.3461105293588314,7.4234370173,12.4668651513,9.320517040006347,4.9262518407,9.1676381317,23.41440701240635,74.0928421444,0.007111726031635175,0.031047270492993197,0.00833994809819017,0.1161825926,0.072344689,0.0619110794,31143294893.0,16124375781,0.0888888889,0.8509868335,0.0122926758,0.6673652521,-4.70711874315488,1.6865698679282624,90000000000.0,10000000.0,5.7658611955,0.5348909572,0.0396948912,70.273529814,1890.9116652,16825.8593261,4.6077964687,year,POV
POV,2017,5,0.4129308062,1.079944502,1.1614934010833093,1.2580253479227996,5.5414233977,9.5257747763,13.933267977292013,7.1748024947,18.0937486714,39.201819143392015,50.8724804998,0.004633536946314505,0.0351559703413957,0.004554838841590464,0.0502846443,0.0411961182,0.0252402905,22151288261.0,8035285700,0.0555555556,0.8135243293,0.0009264553,0.4823853626,-2.620683195305281,2.0799445020018537,90000000000.0,10000000.0,16.592920354,0.5723432765,0.0518983818,8.710477006,789.8810743,15724.8287352,5.7635068705,year,POV
