Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
SIV,2024,5,0.1762282154,0.3636118466,0.38029051761982124,6.684217113179519,0.7145282446,2.4483715208,190.34892115612365,128.4825178141,31.4360880873,350.26752705752364,2.8408534189,0.13294268388823074,0.24542155548856137,0.11079273333204027,0.1099353485,0.108549318,0.0791645373,40796556601,29564425185,0.0534759358,2.064650142,0.0981746403,1.3118730181,-8.952528157940456,1.3636118466183453,112662787600,3012374,5.0802519933,0.4865525415,0.5066120266,4.4099615504,8179.135135278687,76867.3407442104,3.559200636,year,SIV
SIV,2023,5,0.29871327820000004,0.4154979946,0.43197179009323217,6.25502124206666,0.6913612718,2.1571001259,181.6947377616892,131.476643097,26.953813116,340.1251939746892,2.7761584978,0.1338608946940166,0.2560009658321343,0.10011090810367132,0.1006155838,0.104720958,0.0692128047,40066504108,28311497123,0.0615384615,2.0375104519,0.1046763948,1.3384998625,-5.123602481451158,1.4154979946079027,117482586000,3012374,6.291442014,0.5421812686,0.5554748308,6.7918191482,7028.8070671171645,71931.6624572513,4.0653101813,year,SIV
SIV,2022,5,0.41724072160000003,0.4942669992,0.5019501121146244,5.894385121405424,0.6753725803,3.6326651957,159.518116332227,135.5416786353,29.923289132,324.983084099527,2.6928986248,0.09585408992110714,0.19766380663326938,0.05775031149875456,0.0591564256,0.0750717192,0.0390029769,32265876780,20064530578,0.0738461538,1.917551883,0.0978958743,1.1768694316,-3.1900906157543654,1.4942669992122064,97902155000,3012374,9.2029672026,0.4794612842,0.4677070282,3.5068129253,4012.9504380930125,67784.4094428514,4.7501177169,year,SIV
SIV,2021,5,0.5036015668,0.5391300227,0.06235095316461882,5.90340206074861,0.5835396369,7.813157182,176.61008694438905,170.8469040657,36.6119709342,384.0689619442891,2.1364156523,0.13099114035282544,0.2427547549993786,0.16688729158947044,0.1499970682,0.0836967824,0.0973853495,27927973718,22958546893,0.0845070423,2.0392329533,0.0905984792,1.159956768,-8.063649207892306,1.5391300227067672,106939277000,3012374,3.9171794096,0.5229193127,0.6101474065,1386.3338860341,9709.946791135497,67888.1026857887,6.0784547027,year,SIV
SIV,2020,5,0.3612433198,0.5414692316,0.17311714753222054,5.3548966215361915,0.7086545776,5.2626698592,167.22196690581424,144.8244660704,29.785742357,341.83217533321425,2.5202923919,0.17016201222448063,0.2788769753423625,0.1442758583189761,0.1476210511,0.1258773622,0.1022417474,36543752110,30963283389,0.0428571429,1.9263283199,0.3910640995,1.3016751745,-14.371246360059619,1.5414692315982348,168692944000,3012374,6.8358103021,0.9093804789,0.9270699893,15.1421020188,8715.035714024885,61580.3850006672,5.2661555304,year,SIV
SIV,2019,5,0.1334849672,0.3374250173,0.21764844850558515,4.912481699583567,0.8772983813,4.9193918332,165.25609874921554,120.8976988906,23.6454722887,309.7992699285155,3.0190814494,0.16601329571370155,0.26761855540953283,0.1350666453904417,0.161485483,0.1682766331,0.1184937494,38072913897,32459417617,0.0481927711,2.6487626776,0.463910215,1.843190005,-12.432363646787845,1.3374250173469824,150016225200,3012374,6.0431357072,0.8815299833,0.767256155,2.9727465791,8766.718775955442,56492.6899153292,3.8372070111,year,SIV
SIV,2018,5,0.1911451541,0.3903619945,0.27057680516764576,4.529046078694571,0.9318951387,4.4156887778,172.71619506068586,109.6399504237,27.426836512,309.7829819963859,3.3290784845,0.14824753896923562,0.23044854624321215,0.1324562379039295,0.1687830903,0.1543056944,0.1234353242,34343294623,28822419233,0.0602409639,2.6028940342,0.1120645761,1.8080561029,-16.110253110110197,1.3903619944523882,150016225200,3012374,6.1971583347,0.9561615924,0.7716054649,14.6886461027,8548.825724826997,52083.2465915587,5.0390359836,year,SIV
SIV,2017,5,0.16540101710000002,0.3430608744,0.3076207448458911,4.27974310407837,1.0784400662,4.0664587482,149.01946634389043,87.5366665498,29.8445182466,266.40065114029045,4.169681282,0.2000838688949665,0.281178994781242,0.18449623743774884,0.2662525126,0.2327457643,0.1989681345,45151718659,39246562181,0.0803212851,2.9571374044,0.1500106617,2.0732868576,-16.960506303783433,1.3430608743852115,150016225200,3012374,5.1967291061,1.0118597788,0.7648014263,18.1153935836,12013.46167507753,49216.3055012425,3.6183810144,year,SIV
SIV,2016,5,0.26477463419999997,0.3322950826,0.4115905242397885,3.5674283078409945,1.0548303918,3.7705314261,142.9076003706461,94.9555215462,22.9041087751,260.7672306919461,3.8439049574,0.2087813211296699,0.2872711295934526,0.18249907046403516,0.2713382781,0.2423668317,0.192505566,40492366482,35002546848,0.0481927711,3.6643199147,0.3713260416,2.7614055961,-12.556614038008735,1.332295082561811,150016225200,3012374,4.9030866946,1.2138996322,0.8948087642,4.1505145624,10156.867112782145,41024.8085417017,3.9518027473,year,SIV
