Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
SWC,2025,5,0.0581614232,0.1147376105,0.4232289730889061,2.931928138084948,0.4970200889,1.2973874155,42.38311215702151,2.6582489058,31.9543477726,76.99570883542151,137.3084360924,0.21757133632252254,0.24406147902481454,0.2870539878904209,0.1611351651,0.1161922835,0.1426715986,330681759892.0,235708304998,0.0,4.0419747623,2.3942273934,3.5391973821,-46.02446082583201,1.1147376104795759,2038363800000.0,67100000.0,6.5545805908,1.0376497672,1.8815184975,7.3955957673,4634.621480223547,29275.7739277943,5.2019249459,year,SWC
SWC,2024,5,0.0930785259,0.1412119375,0.4411484442218502,2.829078147885246,0.5598844488,1.4946098209,39.38735230248488,1.4878417463,25.6204713818,66.49566543058488,245.3217897126,0.1850980425990698,0.20704332713947535,0.2381604391934335,0.1534004943,0.1057565619,0.1333423262,294630178628.0,213101614663,0.1107279572,3.5527163409,2.1971830177,3.1956370079,-27.967525555848432,1.141211937465338,2120963900000.0,67100000.0,7.7742222896,1.1189474219,1.8422491398,8.4850047116,4086.3166439493293,28248.8697701937,6.1482215962,year,SWC
SWC,2023,5,0.0950295788,0.1567211079,0.4179125852368624,2.507504883058122,0.4475542022,1.3004973328,47.235593400977564,1.9035036885,31.2827221096,80.42181919907756,191.7516641593,0.20256405214957937,0.22534370351245786,0.2769503344188459,0.1451423852,0.0943611366,0.123950286,237690206833.0,166927489179,0.0,3.6199034942,2.2826207201,3.211465735,-21.681407993307175,1.1567211079068458,1819013900000.0,67100000.0,8.006307062,1.0831651772,2.2073466049,9.4652509138,3401.299369642325,25027.5771135022,6.3572210629,year,SWC
SWC,2022,5,0.13176976569999999,0.1797029447,0.38330650898001656,2.1935040715320415,0.5706791556,1.8239917585,34.43332424486305,1.6275102895,21.9927660211,58.05360055546305,224.2689354088,0.20348760876676508,0.22591544354868112,0.22642002615182777,0.1549013324,0.1204324365,0.1292131893,253138971641.0,189788642960,0.0,2.9253205105,1.5287783233,2.3969769154,-25.106224496914077,1.179702944666765,1580205000000.0,67100000.0,7.5627873895,1.0782535693,1.6942643764,8.9081135744,3147.2016352160954,21840.8736789866,5.7303491504,year,SWC
SWC,2021,5,0.19740960000000002,0.2093113965,0.3618576587011354,1.8883876088986586,0.5074519332,1.5699253578,42.851404770939645,2.1800642777,18.2382849499,63.26975399853964,167.4262560656,0.22997157986721975,0.25533560985330533,0.2511848033165872,0.1567380744,0.1206942036,0.127464214,219869805253.0,168979507135,0.0,2.9007058056,1.5584365704,2.2287272714,-23.82332136283698,1.209311396482395,1402390000000.0,67100000.0,7.764270527,1.1120542903,1.9085737043,7.3248701654,2750.620726557377,18794.0464617586,6.1221491002,year,SWC
SWC,2020,5,0.22362724350000002,0.2533659552,0.43894094932217453,1.6214433454351713,0.3974011423,1.1838444426,56.97514068204333,4.4156070431,23.1023009043,84.49304862944334,82.6613411097,0.26834274995124774,0.3085340224173737,0.2981712129007054,0.1465633388,0.1100446201,0.1184935806,177298385165.0,133868123571,0.0,2.4668040299,0.9443947299,1.8807455646,-15.151423163399174,1.2533659551846883,2089695300000.0,67100000.0,14.3531036749,1.9317522947,4.1888581718,8.8688464065,2216.82036071535,16121.6322021311,11.7996471934,year,SWC
SWC,2019,5,0.1781139793,0.2178538723,0.3877906291673192,1.403624694695976,0.285453629,1.0186930169,65.06242508706582,5.7774088748,26.1649655048,97.00479946666582,63.1771106924,0.2176985114119897,0.2617546347479337,0.19836680999971973,0.0679664093,0.0731356601,0.0566245258,106716418867.0,75276671100,0.0,4.6087587338,2.0092614135,2.9262462234,-25.190538247930245,1.217853872291581,2234765500000.0,67100000.0,33.602234597,2.3885638743,6.4628936906,37.7725846994,1022.2366208196721,13943.5249601937,21.0575112082,year,SWC
SWC,2018,5,0.12108644190000001,0.1849429075,0.2913340694556367,1.6044395277868853,0.1896627285,0.9676928697,70.91856147362364,11.9015351375,20.0742068935,102.89430350462365,30.6683125986,0.2159555013276036,0.28062992896134237,0.4228330824881471,0.0938463739,0.0472899939,0.0801956761,75383366857.0,54060743453,0.1501276085,5.331149706,1.8985873398,2.5014907153,-38.0945101235769,1.1849429075384037,2234765500000.0,67100000.0,21.1127719635,2.0902558809,8.9271784492,48.6239589577,1577.4811596274217,15933.4559485991,29.4234596172,year,SWC
SWC,2017,5,0.09545209760000001,0.1567735126,0.17277319920640075,1.7573976824500745,0.1442214653,0.9227174923,78.45233995192662,25.7222710872,10.7407308223,114.91534186142661,14.1900378377,0.10121142385277304,0.19538632040573667,2.763718133585869,0.4610603062,0.0149356286,0.3985874788,35007192290.0,18463907720,0.1501276085,7.1350245576,2.4624617602,2.9685703463,-19.732546059518356,1.156773512583644,2234765500000.0,67100000.0,4.454540777,1.9140183144,12.2500502961,-16.3507666796,7513.898328122205,17400.5649529061,61.2838542494,year,SWC
