Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
TVT,2025,5,0.9049336609,1.2549695009,0.49109600879077425,2.749929265895238,1.2157608961,5.263919477,48.638386748939894,118.898680704,28.388914349,195.92598180193988,3.0698406226,0.04247076481755283,0.13978531832853844,0.025146407748437793,0.0781185004,0.0627873469,0.0305720192,132067706129.0,68097392343,0.0306748466,1.3882072457,0.4827098427,0.8283020546,-2.8540996110022703,2.254969500938999,342300000000.0,21000000.0,8.4896648526,0.6528284259,0.213484574,1.8215409238,1919.9815638095238,24968.2755125714,3.9094897688,year,TVT
TVT,2024,5,1.0012669016,1.3603235951,0.5754711057698094,2.6942821622761906,1.2231052337,4.9195079653,41.74116024940049,124.2019238279,31.7354607875,197.67854486480047,2.9387628529,0.036295869742760084,0.12165070872620104,0.013915655097710058,0.0464725265,0.0560802771,0.0170203106,157370714001.0,61968439333,0.0613496933,1.301137944,0.2772865335,0.5608055351,-1.9483002075541334,2.360323595127778,342300000000.0,21000000.0,14.4075419258,0.6739062104,0.2004903842,-11.7015029779,1131.3519047142856,24187.3420212381,4.349220159,year,TVT
TVT,2023,5,1.0719391901,1.5288872266,0.6399029497796049,2.7422186071,1.0288474935,4.6262328021,45.49965181371505,117.5158410017,29.883263035,192.89875585041503,3.1059642418,0.023615779552784856,0.08573158797336355,0.007181710749381729,0.0224834503,0.0355891923,0.0073888851,136127099192.0,39720552777,0.0607902736,1.255303315,0.2014674401,0.4576397686,-0.9767980981773159,2.528887226566299,345450000000.0,21000000.0,29.511794107,0.6713813875,0.2053866443,6.1569290804,575.2036224285714,24501.721832,5.357538481,year,TVT
TVT,2022,5,1.3649258005999998,1.9152611975,0.5765914772791868,2.961884765047619,1.2214282219,4.9353687198,46.96293568479123,81.5737395668,20.5884711434,149.12514639499125,4.4744791883,0.04417658721066495,0.10522158537693783,0.0281068791581841,0.0978040943,0.0607905689,0.0343305354,189038720148.0,86443393855,0.1547987616,1.2073143289,0.2379382887,0.4509717409,-2.336588184456841,2.915261197475815,339150000000.0,21000000.0,6.3674027058,0.6056600255,0.1733213943,2.3740227627,2618.9848067619046,26665.124525381,4.5973160477,year,TVT
TVT,2021,5,0.9668678337,1.2095475055,0.6900056325162254,2.9973547963809524,0.982321565,3.2186920173,69.72907709773486,79.3847349507,23.4777198591,172.59153190753486,4.5978612919,0.07204329612003586,0.1544146881276144,0.05733107113986662,0.1384758561,0.0903987245,0.0563175475,210898040071.0,106324004842,0.1077586207,1.2342377903,0.1525520035,0.5650446888,-3.561397623999461,2.2095475054653364,487200000000.0,21000000.0,5.9440103406,0.8627548567,0.3301182449,4.1967912334,4029.1043314761905,26890.6049278095,4.4003155572,year,TVT
TVT,2020,5,1.4402298174,1.7236368525,0.8145922294845299,2.8218608339809523,1.1445664455,3.5733233898,62.70242794180562,70.8060127599,20.1026465651,153.6110872668056,5.1549294442,0.0608730362038485,0.1135569410882121,0.038790316084294105,0.1222746306,0.0815157174,0.0443980942,225972444726.0,113051685586,0.0600706714,1.0591300081,0.2320419822,0.5358979028,-3.032803811454636,2.723636852520334,594300000000.0,21000000.0,8.498480789,1.1324927361,0.320002707,1.7587263458,3430.489559142857,24989.1227545238,5.1618378295,year,TVT
TVT,2019,5,1.467752706,1.7848212866,0.9504903219185316,2.7892615078380953,1.3334229629,3.6826820859,56.18229671764394,77.4056652222,18.8897365297,152.47769846954395,4.7154171333,0.056874648393096576,0.10139339092724316,0.03951987837302971,0.1290189225,0.0896156876,0.0526967133,245207157021.0,122716937764,0.0868055556,0.9920091331,0.159082608,0.5364997391,-3.442672823173084,2.7848212866434943,604800000000.0,21000000.0,7.0926805261,1.1700884203,0.2803018717,2.9314365461,4060.5240704285716,24613.5244991429,5.035013866,year,TVT
TVT,2018,5,0.9609438677,1.1805665583,0.8355608395837532,3.5052013381380953,1.4748659656,3.7032469759,51.848687518297815,72.8310838299,16.5021022292,141.18187357739782,5.0115964339,0.06685817190127788,0.11366896135591749,0.04148176091051499,0.134452462,0.1153470889,0.0611800374,271805549705.0,155916991340,0.3472222222,1.1561759248,0.093008121,0.5471020268,-4.713121669813135,2.1805665582511047,604800000000.0,21000000.0,6.5726808031,0.9135928117,0.2593419872,2.4057626617,4606.561117666667,31523.8907657143,4.2246642395,year,TVT
TVT,2017,5,1.1269696921999999,1.2155453635,0.916800283174386,3.3471255715,1.5129651786,3.7289161727,49.88236145938917,67.5298400086,18.704317687,136.1165191549892,5.4050179884,0.04950978302570678,0.10979019354938156,0.0343671055560359,0.1310021295,0.0901014559,0.051996234,240493075739.0,125285589630,0.0868055556,1.0973840394,0.0944028588,0.5770708648,-4.162139479842652,2.215545363506098,604800000000.0,21000000.0,7.3065820745,0.9614155325,0.2390020821,3.328740973,4141.272040285714,29955.829740381,5.0802519624,year,TVT
