Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VNG,2025,5,4.0803944391,2.9204836461,1.5868988204727477,1.1623118976290785,0.1617540133,0.4027204378,125.48189869408314,6.2314454103,92.1672068087,223.88055091308314,58.5738903203,0.1514442065362613,0.32497155629453994,0.009797231609132194,0.0063366259,0.0284325876,0.0015847415,191489737101.0,109954598636,0.0,1.0029997209,0.2181160255,0.9054427491,-0.46202186871059203,3.9204836460774093,667317530880,97276608,93.8141667947,0.5926061599,0.9191191203,2.5848573026,73.12328440769646,11575.9849696239,17.7241607578,year,VNG
VNG,2024,5,4.2002942084,3.0443780288,1.6121380643837873,1.1550831615212158,0.1678293879,0.3661986918,107.19743714068346,5.9887345898,108.0410078923,221.22717962278347,60.9477669328,0.09448630246465595,0.2851060732446605,0.0033764057612714286,0.0021428872,0.016538522,0.0005666601,156907582109.0,67033190104,0.0,1.0133932197,0.3515643999,0.9400232786,-0.26632803783947245,4.044378028825853,775294565760,97276608,323.6615230021,0.6928278038,1.092812631,-3.9800472813,24.62449019603973,11503.5799028478,20.1365662675,year,VNG
VNG,2023,5,3.6459331972999998,2.4938840956,1.843632631810071,1.1504400253717728,0.2198125691,0.5030867369,39.639270106034466,7.0455910927,99.5620597946,146.24692099333447,51.8054475771,0.18104170775819567,0.3452236710768036,0.004480538601329116,0.0029844231,0.040183928,0.0009848787,193738804565.0,134453470390,0.0,1.0842612605,0.1269392909,0.9074699784,-0.7403868225825871,3.4938840956488137,848252021760,97276608,254.9184689915,0.7596510036,1.1421720405,-3.3909789576,34.20701542142588,11478.9554126517,15.4019298444,year,VNG
VNG,2022,5,2.086439756,1.551929763,0.796986861652887,1.1469509280175558,0.2411806374,0.6852594144,35.14855638647178,7.207656867,38.3827189899,80.73893224337178,50.6405905187,0.14632502187111965,0.32661144517430735,0.00422240212007048,0.0023504265,0.0372012388,0.0010183616,132807743983.0,90571177621,0.0,1.2271449541,0.1299830577,1.1880623723,-0.779170354558417,2.5519297630386473,972766080000,97276608,372.2008929542,0.8737632015,1.5715818395,4.4130381529,26.86721120045633,11444.7483972303,16.6720937885,year,VNG
VNG,2021,5,1.3860205433,1.0547762577,0.824673587776181,1.1434908430606463,0.0820049379,0.1909724508,113.004463514666,13.4173218756,65.7808510316,192.20263642186598,27.2036404422,-0.5932104165945336,-0.14249087290731344,0.01044265005436224,0.0016847715,-0.0515436256,0.0008563489,-61592562600.0,-108248261700,0.0,1.0372707014,0.0265027973,1.010416419,1.6436746479970115,2.0547762577139683,943583097600,97276608,495.1733530237,0.8496240734,5.1709220419,-5.390634686,19.589099334137966,11416.8139817437,-31.1103913056,year,VNG
VNG,2020,5,1.1727455861,0.8828449054,0.8642933529034059,1.1819401254544155,0.213861445,0.4157247911,41.97857108606211,11.0110475806,63.1248014764,116.11442014306212,33.1485262712,-0.03548729719181144,0.23660841825360318,0.0429493298128873,0.0179310478,-0.0082198349,0.0091852057,40217749739.0,-16342632033,0.0,1.2917425068,0.231264547,1.228949874,0.25825879984350975,1.8828449053697662,1347281020800,97276608,68.1165622667,1.2053335361,2.9255606985,103.1884270533,203.3279358075479,11490.5954121057,51.7329024778,year,VNG
VNG,2019,5,1.2308542873000001,1.0276151456,1.15658557313107,1.0859467015657043,0.4583708745,0.8465682402,21.126159804321432,6.673253627,47.4144182666,75.21383169792144,54.6959579842,0.06503234277808519,0.2763311365955566,0.023229656017084974,0.0202559842,0.0319014837,0.0106477977,158987476028.0,59493098890,0.0,0.6513603666,0.1264902771,0.5826193276,-1.0944550583984534,2.0276151456271503,1213932564800,92666608,57.1234713847,1.1684459813,1.3269585908,18.3717541688,229.32779963198826,11211.4725110797,12.2875753058,year,VNG
VNG,2018,5,0.9308822361,0.7753694993,0.9017073797850076,1.0710436236448542,0.5320140809,1.0627065039,19.754964455006277,6.9601089579,42.1066606295,68.82173404240628,52.4417077678,0.11093948743644626,0.3137776423638523,0.05089171283956615,0.0459602192,0.062740888,0.0270751078,178399208974.0,101987759208,0.0381679389,1.4496784321,0.1865757636,1.3781118554,-2.4020068308841713,1.7753694993225764,1096527705500,83704405,27.0720531804,1.2094452253,1.1927727656,9.6639316724,558.9341552932608,10831.4123917732,9.0027124659,year,VNG
VNG,2017,5,0.7306646547,0.6158991455,0.7954139118723937,1.0218562350323728,0.9153267885,1.8663404099,11.420322506614404,3.7672920597,18.3784217027,33.566036269014404,96.8865684462,0.10017254028074221,0.2809369769495036,0.025824339473683927,0.0407417787,0.0647261089,0.0236377097,154191848302.0,92728350217,0.0,1.6741897129,0.2190879465,1.5822582885,-2.2032856469728657,1.6158991455027514,985185500000,75205000,42.9090767053,1.2556914276,1.0642757469,6.0464002317,317.86766550096405,10432.4993478093,8.9043577349,year,VNG
