short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
DCDS,QUỸ ĐẦU TƯ CHỨNG KHOÁN NĂNG ĐỘNG DC,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.95,2004-05-19,105417.6,-1.17,-1.6,954.18,-4.38,7.27,1.67,32.32,52.16,97.32,25.43,2026-02-12,28,VFMVF1,VFMVF1N001
SSISCA,QUỸ ĐẦU TƯ LỢI THẾ CẠNH TRANH BỀN VỮNG SSI,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.75,2014-09-25,48079.39,2.48,5.52,380.79,2.62,9.07,6.37,18.44,44.39,89.37,23.72,2026-02-12,11,SSISCA,SSISCAN001
VCBF-MGF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2021-10-28,15141.48,-1.0,5.73,51.41,4.46,9.23,3.98,12.49,33.78,80.3,21.71,2026-02-12,46,VCBFMGF,VCBFMGFN001
BVFED,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,1.0,2014-01-07,31497.0,2.08,1.49,215.35,-0.29,5.49,5.33,38.19,55.22,79.95,21.63,2026-02-12,12,BVFED,BVFEDN001
VCBF-BCF,QUỸ ĐẦU TƯ CỔ PHIẾU HÀNG ĐẦU VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,2014-08-21,45578.66,-0.74,3.7,356.07,1.23,10.25,10.57,28.18,49.91,79.0,21.42,2026-02-12,32,VCBFBCF,VCBFBCFN001
MAGEF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG MIRAE ASSET VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,1.75,2019-07-22,22508.22,-1.04,1.54,125.08,-1.49,11.79,10.6,34.3,51.67,78.8,21.37,2026-02-12,35,MAGEF,MAGEFN001
VESAF,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2017-04-17,35874.86,-0.86,6.87,258.75,3.6,8.16,3.25,15.85,30.69,70.32,19.42,2026-02-12,23,VESAF,VESAFN002
VEOF,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2014-06-30,37101.09,-0.77,5.05,271.01,2.38,7.59,6.01,20.97,37.2,69.03,19.12,2026-02-12,20,VEOF,VEOFN003
UVEEF,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),1.75,2022-09-29,18496.1,1.96,0.91,84.96,-3.03,8.48,11.27,26.56,41.76,67.41,18.74,2026-02-12,58,UVEEF,UVEEFN001
VLGF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.5,2021-11-15,14147.43,2.35,5.61,41.5,4.15,7.86,6.9,17.01,38.52,66.05,18.42,2026-02-12,49,VLGF,VLGFN001
