symbol,date,net_value
HPG,2026-02-23,192527053950.0
VIC,2026-02-23,78707796500.0
VHM,2026-02-23,68405663700.0
SHB,2026-02-23,63003945450.0
TCX,2026-02-23,47320340000.0
VIX,2026-02-23,39519160400.0
BSR,2026-02-23,34508090000.0
BVH,2026-02-23,23379313000.0
VCK,2026-02-23,21018410000.0
DGC,2026-02-23,19553410000.0
HAH,2026-02-23,17163708200.0
CTR,2026-02-23,16408120000.0
CII,2026-02-23,15490160000.0
FUEVFVND,2026-02-23,14455649000.0
GEL,2026-02-23,11257270000.0
TPB,2026-02-23,9171639500.0
VJC,2026-02-23,8876718800.0
PAN,2026-02-23,7936911600.0
MSN,2026-02-23,7933590000.0
SCS,2026-02-23,7799270000.0
HCM,2026-02-23,7049900000.0
EVF,2026-02-23,6824982500.0
HSG,2026-02-23,6230785500.0
LCG,2026-02-23,6043480000.0
CEO,2026-02-23,6032220000.0
DPM,2026-02-23,5780533100.0
KHG,2026-02-23,5559684000.0
EIB,2026-02-23,5489165000.0
SHS,2026-02-23,4956632000.0
DIG,2026-02-23,4769297000.0
