symbol,date,net_value
FPT,2026-02-23,-820262427000.0
VCB,2026-02-23,-148796097500.0
MWG,2026-02-23,-107509011600.0
DGW,2026-02-23,-70402650000.0
VNM,2026-02-23,-67381427200.0
STB,2026-02-23,-60764890000.0
SSI,2026-02-23,-50910743100.0
IDC,2026-02-23,-38456450000.0
PNJ,2026-02-23,-38289750000.0
PVS,2026-02-23,-24402188800.0
ACB,2026-02-23,-21945605000.0
VGC,2026-02-23,-19699440000.0
ACV,2026-02-23,-19360081300.0
VHC,2026-02-23,-18139120000.0
BCM,2026-02-23,-17382020000.0
CTG,2026-02-23,-17252489050.000004
GEX,2026-02-23,-14368482500.0
BID,2026-02-23,-12185548900.0
HVN,2026-02-23,-10571420000.0
VRE,2026-02-23,-10249737599.999996
NLG,2026-02-23,-9503239600.0
SZC,2026-02-23,-8658821500.0
E1VFVN30,2026-02-23,-8500087000.0
GAS,2026-02-23,-8332563800.0
NAB,2026-02-23,-8133148750.0
VND,2026-02-23,-7135810000.0
TCH,2026-02-23,-7131470000.0
GVR,2026-02-23,-6725655000.0
TNG,2026-02-23,-6598539999.999999
BAF,2026-02-23,-6564721750.0
