symbol,index,last_price,last_updated,price_change_1d,price_change_pct_1d,accumulated_value,avg_volume_20d,volume_spike_20d_pct,total_volume_avg_20d,deal_volume_spike_20d_pct,deal_volume_spike_5d_20d_pct,deal_volume_sum_5d,deal_value_avg_5d,deal_volume_avg_5d
TEG,VNINDEX,6.03,2026-02-23 13:45,-0.20000000000000018,-3.21027287319422,7315000.0,11820.0,10.152284263959391,11820.0,0.0,0.0,0.0,0.0,0.0
TCR,VNINDEX,2.9,2026-02-23 13:45,-0.0900000000000003,-3.0100334448160626,7564000.0,14270.0,18.220042046250875,14270.0,0.0,0.0,0.0,0.0,0.0
TAL,VNINDEX,46.2,2026-02-23 13:45,-1.2999999999999972,-2.7368421052631486,12725550000.0,349625.0,78.42688594923132,370120.8,0.0,0.0,0.0,0.0,0.0
HVX,VNINDEX,2.21,2026-02-23 13:45,-0.06000000000000005,-2.643171806167399,16111000.0,72385.0,10.084962354078884,72385.0,0.0,0.0,0.0,0.0,0.0
DHA,VNINDEX,55.7,2026-02-23 13:45,-1.5,-2.622377622377625,9896480000.0,126170.0,139.89062376159148,126170.0,0.0,0.0,0.0,0.0,0.0
ELC,VNINDEX,22.4,2026-02-23 13:45,-0.6000000000000014,-2.60869565217392,27249580000.0,1483910.0,81.4335101185382,1535910.0,0.0,0.0,0.0,0.0,0.0
FIR,VNINDEX,6.55,2026-02-23 13:45,-0.16999999999999993,-2.529761904761907,2860485000.0,153505.0,284.87671411354677,153505.0,0.0,0.0,0.0,0.0,0.0
CRE,VNINDEX,7.61,2026-02-23 13:45,-0.1899999999999995,-2.4358974358974272,1008990000.0,344475.0,37.97082516873503,344475.0,0.0,0.0,0.0,0.0,0.0
ACC,VNINDEX,12.4,2026-02-23 13:45,-0.29999999999999893,-2.3622047244094446,162995000.0,26525.0,49.38737040527804,81525.0,0.0,0.0,0.0,0.0,0.0
CDC,VNINDEX,23.9,2026-02-23 13:45,-0.5,-2.049180327868849,4261350000.0,155010.0,114.89581317334365,281845.0,5.676879135695152,1.1353758271390302,16000.0,0.768,3200.0
PMG,VNINDEX,7.95,2026-02-23 13:45,-0.14999999999999947,-1.851851851851849,17287000.0,15400.0,14.285714285714285,15400.0,0.0,0.0,0.0,0.0,0.0
DBD,VNINDEX,53.2,2026-02-23 13:45,-1.0,-1.845018450184499,599740000.0,53475.0,20.944366526414214,278161.5,0.0,295.4204661680355,4108730.0,42515843550.0,821746.0
CRC,VNINDEX,8.64,2026-02-23 13:45,-0.14999999999999858,-1.7064846416382062,7665744000.0,1072460.0,82.60447942114392,1072460.0,0.0,0.0,0.0,0.0,0.0
MCH,VNINDEX,146.5,2026-02-23 13:45,-2.5,-1.6778523489932917,4600230000.0,184825.0,16.989043689977006,458711.6,0.0,195.14361529117645,4475732.0,127110788800.0,895146.4
CCL,VNINDEX,5.9,2026-02-23 13:45,-0.09999999999999964,-1.6666666666666607,1402834000.0,172770.0,136.5399085489379,172770.0,0.0,0.0,0.0,0.0,0.0
STK,VNINDEX,15.7,2026-02-23 13:45,-0.25,-1.5673981191222541,490140000.0,17905.0,174.25300195476123,17905.0,0.0,0.0,0.0,0.0,0.0
FPT,VNINDEX,94.8,2026-02-23 13:45,-1.5,-1.5576323987538943,1631518630000.0,10880510.0,158.82251842974273,11942250.15,0.0,6.059402465288335,3618145.0,75523941260.0,723629.0
CTF,VNINDEX,19.2,2026-02-23 13:45,-0.3000000000000007,-1.538461538461544,4735550000.0,313985.0,78.18844849276239,343985.0,0.0,0.0,0.0,0.0,0.0
TCH,VNINDEX,16.4,2026-02-23 13:45,-0.25,-1.501501501501501,47816705000.0,6562840.0,44.37560568290557,6602443.95,0.0,0.0,0.0,0.0,0.0
BCE,VNINDEX,11.25,2026-02-23 13:45,-0.15000000000000036,-1.3157894736842146,299265000.0,56325.0,47.04837993786063,86325.0,0.0,139.00955690703736,600000.0,1278000000.0,120000.0
DPG,VNINDEX,44.55,2026-02-23 13:45,-0.5,-1.1098779134295245,12521070000.0,895560.0,31.187190138014202,902840.0,0.0,0.0,0.0,0.0,0.0
MWG,VNINDEX,91.8,2026-02-23 13:45,-1.0,-1.0775862068965525,278072580000.0,8329515.0,36.21939572712217,10024721.25,0.49477684978023706,14.925502292644795,7481200.0,133604474369.55136,1496240.0
KDH,VNINDEX,28.0,2026-02-23 13:45,-0.3000000000000007,-1.0600706713780994,67131775000.00001,6227080.0,38.71798660046121,7224633.5,0.0,25.24695543379467,9120000.0,50342600000.0,1824000.0
PTL,VNINDEX,2.9,2026-02-23 13:45,-0.03000000000000025,-1.0238907849829393,12612000.0,63465.0,6.932955172142126,63465.0,0.0,0.0,0.0,0.0,0.0
HUB,VNINDEX,14.6,2026-02-23 13:45,-0.15000000000000036,-1.016949152542379,125684999.99999999,12270.0,70.08964955175225,12270.0,0.0,0.0,0.0,0.0,0.0
VAF,VNINDEX,19.7,2026-02-23 13:45,-0.1999999999999993,-1.005025125628134,3940000.0,12485.0,1.6019223067681216,12485.0,0.0,0.0,0.0,0.0,0.0
YBM,VNINDEX,10.6,2026-02-23 13:45,-0.09999999999999964,-0.9345794392523366,32625000.0,14535.0,21.32782937736498,14535.0,0.0,0.0,0.0,0.0,0.0
VIX,VNINDEX,22.35,2026-02-23 13:45,-0.1999999999999993,-0.8869179600886845,742008570000.0,35754280.0,93.84079332600182,39576167.3,0.025267732279876432,7.180912639814922,14209650.0,63138906500.44,2841930.0
FUEVFVND,VNINDEX,40.35,2026-02-23 13:45,-0.3200000000000003,-0.7868207523973436,20299875000.0,741335.0,67.86405606102505,831890.0,0.0,34.405991176718075,1431100.0,11532592480.0,286220.0
HII,VNINDEX,5.27,2026-02-23 13:45,-0.040000000000000036,-0.7532956685499026,419293000.0,272125.0,29.214515388148826,272125.0,0.0,0.0,0.0,0.0,0.0
