time,price,volume,match_type,id,trading_date,symbol,price_change,accumulated_volume,accumulated_value
2026-02-13 09:15:04,53.1,1400,ato,2026-02-13_091504_531000_1400,13/02/2026,IMP,-700.0,1400,74340000.0
2026-02-13 09:31:37,53.3,2100,sell,2026-02-13_093137_533000_2100,13/02/2026,IMP,-500.0,3500,186270000.0
2026-02-13 09:52:37,53.4,100,buy,2026-02-13_095237_534000_100,13/02/2026,IMP,-400.0,3600,191610000.0
2026-02-13 09:52:53,53.4,100,buy,2026-02-13_095253_534000_100,13/02/2026,IMP,-400.0,3700,196950000.0
2026-02-13 10:13:04,53.4,400,buy,2026-02-13_101304_534000_400,13/02/2026,IMP,-400.0,4100,218310000.0
2026-02-13 10:23:02,53.4,600,sell,2026-02-13_102302_534000_600,13/02/2026,IMP,-400.0,4700,250350000.0
2026-02-13 10:28:35,53.5,2000,buy,2026-02-13_102835_535000_2000,13/02/2026,IMP,-300.0,6700,357350000.0
2026-02-13 10:41:12,53.5,400,buy,2026-02-13_104112_535000_400,13/02/2026,IMP,-300.0,7100,378750000.0
2026-02-13 11:16:23,53.5,1700,buy,2026-02-13_111623_535000_1700,13/02/2026,IMP,-300.0,8800,469700000.0
2026-02-13 13:00:25,53.4,100,sell,2026-02-13_130025_534000_100,13/02/2026,IMP,-400.0,8900,475040000.0
2026-02-13 13:00:27,53.5,200,buy,2026-02-13_130027_535000_200,13/02/2026,IMP,-300.0,9100,485740000.0
2026-02-13 13:02:39,53.5,800,buy,2026-02-13_130239_535000_800,13/02/2026,IMP,-300.0,9900,528540000.0
2026-02-13 13:14:27,53.5,100,sell,2026-02-13_131427_535000_100,13/02/2026,IMP,-300.0,10000,533890000.0
2026-02-13 13:15:59,53.5,900,buy,2026-02-13_131559_535000_900,13/02/2026,IMP,-300.0,10900,582040000.0
2026-02-13 13:20:31,53.5,200,sell,2026-02-13_132031_535000_200,13/02/2026,IMP,-300.0,11100,592740000.0
2026-02-13 13:22:07,53.5,300,buy,2026-02-13_132207_535000_300,13/02/2026,IMP,-300.0,11400,608790000.0
2026-02-13 13:55:03,53.5,500,buy,2026-02-13_135503_535000_500,13/02/2026,IMP,-300.0,11900,635540000.0
2026-02-13 14:03:14,53.5,500,buy,2026-02-13_140314_535000_500,13/02/2026,IMP,-300.0,12400,662290000.0
2026-02-13 14:05:47,53.5,100,sell,2026-02-13_140547_535000_100,13/02/2026,IMP,-300.0,12500,667640000.0
2026-02-13 14:09:09,53.5,100,buy,2026-02-13_140909_535000_100,13/02/2026,IMP,-300.0,12600,672990000.0
2026-02-13 14:19:38,53.5,800,buy,2026-02-13_141938_535000_800,13/02/2026,IMP,-300.0,13400,715790000.0
2026-02-13 14:21:53,53.5,500,buy,2026-02-13_142153_535000_500,13/02/2026,IMP,-300.0,13900,742540000.0
2026-02-13 14:26:55,53.4,500,sell,2026-02-13_142655_534000_500,13/02/2026,IMP,-400.0,14400,769240000.0
2026-02-13 14:27:45,53.4,500,sell,2026-02-13_142745_534000_500,13/02/2026,IMP,-400.0,14900,795940000.0
2026-02-13 14:28:33,53.4,500,sell,2026-02-13_142833_534000_500,13/02/2026,IMP,-400.0,15400,822640000.0
2026-02-13 14:29:33,53.4,500,sell,2026-02-13_142933_534000_500,13/02/2026,IMP,-400.0,15900,849340000.0
2026-02-13 14:45:16,53.4,900,atc,2026-02-13_144516_534000_900,13/02/2026,IMP,-400.0,16800,897400000.0
