time,price,volume,match_type,id,trading_date,symbol,price_change,accumulated_volume,accumulated_value
2026-02-24 09:15:09,6.64,55200,ato,2026-02-24_091509_66400_55200,24/02/2026,KHG,-10.0,55200,366528000.0
2026-02-24 09:16:23,6.64,5000,buy,2026-02-24_091623_66400_5000,24/02/2026,KHG,-10.0,60200,399728000.0
2026-02-24 09:16:29,6.63,5200,sell,2026-02-24_091629_66300_5200,24/02/2026,KHG,-20.0,65400,434204000.0
2026-02-24 09:16:44,6.62,900,sell,2026-02-24_091644_66200_900,24/02/2026,KHG,-30.0,66300,440162000.0
2026-02-24 09:16:50,6.61,20000,sell,2026-02-24_091650_66100_20000,24/02/2026,KHG,-40.0,86300,572362000.0
2026-02-24 09:16:50,6.61,100,buy,2026-02-24_091650_66100_100,24/02/2026,KHG,-40.0,86400,573023000.0
2026-02-24 09:16:51,6.61,100,buy,2026-02-24_091651_66100_100,24/02/2026,KHG,-40.0,86500,573684000.0
2026-02-24 09:16:56,6.61,4800,buy,2026-02-24_091656_66100_4800,24/02/2026,KHG,-40.0,91300,605412000.0
2026-02-24 09:17:21,6.62,14100,buy,2026-02-24_091721_66200_14100,24/02/2026,KHG,-30.0,105400,698754000.0
2026-02-24 09:18:17,6.63,22800,buy,2026-02-24_091817_66300_22800,24/02/2026,KHG,-20.0,128200,849918000.0
2026-02-24 09:18:31,6.63,500,sell,2026-02-24_091831_66300_500,24/02/2026,KHG,-20.0,128700,853233000.0
2026-02-24 09:18:41,6.64,10000,buy,2026-02-24_091841_66400_10000,24/02/2026,KHG,-10.0,138700,919633000.0
2026-02-24 09:18:59,6.65,7000,buy,2026-02-24_091859_66500_7000,24/02/2026,KHG,0.0,145700,966183000.0
2026-02-24 09:19:08,6.65,5000,buy,2026-02-24_091908_66500_5000,24/02/2026,KHG,0.0,150700,999433000.0
2026-02-24 09:19:09,6.64,5000,sell,2026-02-24_091909_66400_5000,24/02/2026,KHG,-10.0,155700,1032633000.0
2026-02-24 09:19:13,6.63,32100,sell,2026-02-24_091913_66300_32100,24/02/2026,KHG,-20.0,187800,1245456000.0
2026-02-24 09:19:24,6.62,16000,sell,2026-02-24_091924_66200_16000,24/02/2026,KHG,-30.0,203800,1351376000.0
2026-02-24 09:19:28,6.62,10000,buy,2026-02-24_091928_66200_10000,24/02/2026,KHG,-30.0,213800,1417576000.0
2026-02-24 09:19:40,6.62,1000,buy,2026-02-24_091940_66200_1000,24/02/2026,KHG,-30.0,214800,1424196000.0
2026-02-24 09:19:41,6.62,3000,buy,2026-02-24_091941_66200_3000,24/02/2026,KHG,-30.0,217800,1444056000.0
2026-02-24 09:20:01,6.63,17900,buy,2026-02-24_092001_66300_17900,24/02/2026,KHG,-20.0,235700,1562733000.0
2026-02-24 09:20:12,6.64,27000,buy,2026-02-24_092012_66400_27000,24/02/2026,KHG,-10.0,262700,1742013000.0
2026-02-24 09:20:28,6.65,2000,buy,2026-02-24_092028_66500_2000,24/02/2026,KHG,0.0,264700,1755313000.0
2026-02-24 09:20:54,6.64,3000,sell,2026-02-24_092054_66400_3000,24/02/2026,KHG,-10.0,267700,1775233000.0
2026-02-24 09:21:11,6.63,22100,sell,2026-02-24_092111_66300_22100,24/02/2026,KHG,-20.0,289800,1921756000.0
2026-02-24 09:21:12,6.63,10000,buy,2026-02-24_092112_66300_10000,24/02/2026,KHG,-20.0,299800,1988056000.0
2026-02-24 09:21:21,6.63,12900,buy,2026-02-24_092121_66300_12900,24/02/2026,KHG,-20.0,317700,2106733000.0
2026-02-24 09:21:21,6.63,5000,buy,2026-02-24_092121_66300_5000,24/02/2026,KHG,-20.0,304800,2021206000.0
2026-02-24 09:21:27,6.62,62100,sell,2026-02-24_092127_66200_62100,24/02/2026,KHG,-30.0,387900,2571538000.0
2026-02-24 09:21:27,6.63,8100,sell,2026-02-24_092127_66300_8100,24/02/2026,KHG,-20.0,325800,2160436000.0
2026-02-24 09:21:32,6.62,5000,buy,2026-02-24_092132_66200_5000,24/02/2026,KHG,-30.0,392900,2604638000.0
2026-02-24 09:21:34,6.62,5000,buy,2026-02-24_092134_66200_5000,24/02/2026,KHG,-30.0,397900,2637738000.0
2026-02-24 09:21:40,6.62,4800,buy,2026-02-24_092140_66200_4800,24/02/2026,KHG,-30.0,402700,2669514000.0
2026-02-24 09:22:06,6.63,25100,buy,2026-02-24_092206_66300_25100,24/02/2026,KHG,-20.0,427800,2835927000.0
2026-02-24 09:22:18,6.64,32100,buy,2026-02-24_092218_66400_32100,24/02/2026,KHG,-10.0,459900,3049071000.0
2026-02-24 09:22:28,6.65,20000,buy,2026-02-24_092228_66500_20000,24/02/2026,KHG,0.0,479900,3182071000.0
2026-02-24 09:22:36,6.65,1000,buy,2026-02-24_092236_66500_1000,24/02/2026,KHG,0.0,480900,3188721000.0
2026-02-24 09:22:44,6.64,100,sell,2026-02-24_092244_66400_100,24/02/2026,KHG,-10.0,481000,3189385000.0
2026-02-24 09:22:59,6.64,22800,sell,2026-02-24_092259_66400_22800,24/02/2026,KHG,-10.0,503800,3340777000.0
2026-02-24 09:23:18,6.64,32200,buy,2026-02-24_092318_66400_32200,24/02/2026,KHG,-10.0,536000,3554585000.0
2026-02-24 09:23:25,6.65,15000,buy,2026-02-24_092325_66500_15000,24/02/2026,KHG,0.0,551000,3654335000.0
2026-02-24 09:23:31,6.65,200,buy,2026-02-24_092331_66500_200,24/02/2026,KHG,0.0,551200,3655665000.0
2026-02-24 09:23:38,6.65,32800,buy,2026-02-24_092338_66500_32800,24/02/2026,KHG,0.0,584000,3873785000.0
2026-02-24 09:23:40,6.65,3000,sell,2026-02-24_092340_66500_3000,24/02/2026,KHG,0.0,587000,3893735000.0
