time,price,volume,match_type,id,trading_date,symbol,price_change,accumulated_volume,accumulated_value
2026-02-24 10:18:23,8.9,100,buy,2026-02-24_101823_89000_100,24/02/2026,NBC,0.0,100,890000.0
2026-02-24 10:46:52,8.8,500,sell,2026-02-24_104652_88000_500,24/02/2026,NBC,-100.0,600,5290000.0
2026-02-24 10:49:43,8.8,2500,sell,2026-02-24_104943_88000_2500,24/02/2026,NBC,-100.0,3100,27290000.0
2026-02-24 10:55:43,8.8,200,sell,2026-02-24_105543_88000_200,24/02/2026,NBC,-100.0,3300,29050000.0
2026-02-24 11:01:49,8.8,700,buy,2026-02-24_110149_88000_700,24/02/2026,NBC,-100.0,4000,35210000.0
2026-02-24 11:02:36,8.8,100,buy,2026-02-24_110236_88000_100,24/02/2026,NBC,-100.0,4100,36090000.0
2026-02-24 11:03:10,8.8,500,buy,2026-02-24_110310_88000_500,24/02/2026,NBC,-100.0,4600,40490000.0
2026-02-24 11:03:19,8.8,300,buy,2026-02-24_110319_88000_300,24/02/2026,NBC,-100.0,4900,43130000.0
2026-02-24 11:03:59,8.8,900,buy,2026-02-24_110359_88000_900,24/02/2026,NBC,-100.0,5800,51050000.0
2026-02-24 11:07:00,8.8,100,buy,2026-02-24_110700_88000_100,24/02/2026,NBC,-100.0,5900,51930000.0
2026-02-24 11:07:40,8.8,100,buy,2026-02-24_110740_88000_100,24/02/2026,NBC,-100.0,6000,52810000.0
2026-02-24 11:13:34,8.8,100,buy,2026-02-24_111334_88000_100,24/02/2026,NBC,-100.0,6100,53690000.0
2026-02-24 13:12:36,8.8,100,buy,2026-02-24_131236_88000_100,24/02/2026,NBC,-100.0,6200,54570000.0
2026-02-24 13:24:02,8.9,100,buy,2026-02-24_132402_89000_100,24/02/2026,NBC,0.0,6300,55460000.0
2026-02-24 13:24:46,8.8,2100,sell,2026-02-24_132446_88000_2100,24/02/2026,NBC,-100.0,8400,73940000.0
2026-02-24 13:33:12,8.8,900,buy,2026-02-24_133312_88000_900,24/02/2026,NBC,-100.0,9300,81860000.0
2026-02-24 13:35:49,8.8,200,sell,2026-02-24_133549_88000_200,24/02/2026,NBC,-100.0,9500,83620000.0
2026-02-24 13:45:17,8.8,100,buy,2026-02-24_134517_88000_100,24/02/2026,NBC,-100.0,9600,84500000.0
2026-02-24 13:48:41,8.8,300,sell,2026-02-24_134841_88000_300,24/02/2026,NBC,-100.0,9900,87140000.0
2026-02-24 13:51:57,8.8,100,buy,2026-02-24_135157_88000_100,24/02/2026,NBC,-100.0,10000,88020000.0
2026-02-24 14:02:40,8.8,100,buy,2026-02-24_140240_88000_100,24/02/2026,NBC,-100.0,10100,88900000.0
2026-02-24 14:05:10,8.7,700,sell,2026-02-24_140510_87000_700,24/02/2026,NBC,-200.0,10800,94990000.0
2026-02-24 14:45:02,8.8,100,atc,2026-02-24_144502_88000_100,24/02/2026,NBC,-100.0,10900,95870000.0
