time,price,volume,match_type,id,trading_date,symbol,price_change,accumulated_volume,accumulated_value
2026-02-24 09:00:22,7.4,200,buy,2026-02-24_090022_74000_200,24/02/2026,TD6,0.0,200,1480000.0
2026-02-24 09:00:23,7.4,100,buy,2026-02-24_090023_74000_100,24/02/2026,TD6,0.0,300,2220000.0
2026-02-24 09:09:57,7.3,1300,sell,2026-02-24_090957_73000_1300,24/02/2026,TD6,-100.0,1600,11710000.0
2026-02-24 09:10:26,7.4,100,buy,2026-02-24_091026_74000_100,24/02/2026,TD6,0.0,1700,12450000.0
2026-02-24 09:25:22,7.2,19000,sell,2026-02-24_092522_72000_19000,24/02/2026,TD6,-200.0,20700,149250000.0
2026-02-24 09:26:43,7.4,100,buy,2026-02-24_092643_74000_100,24/02/2026,TD6,0.0,20800,149990000.0
2026-02-24 09:28:11,7.3,100,buy,2026-02-24_092811_73000_100,24/02/2026,TD6,-100.0,20900,150720000.0
2026-02-24 09:32:42,7.3,100,buy,2026-02-24_093242_73000_100,24/02/2026,TD6,-100.0,21000,151450000.0
2026-02-24 09:37:00,7.2,5800,sell,2026-02-24_093700_72000_5800,24/02/2026,TD6,-200.0,26800,193210000.0
2026-02-24 09:37:00,7.1,5200,sell,2026-02-24_093700_71000_5200,24/02/2026,TD6,-300.0,32000,230130000.0
2026-02-24 09:37:44,7.2,200,buy,2026-02-24_093744_72000_200,24/02/2026,TD6,-200.0,32200,231570000.0
2026-02-24 09:40:49,7.3,200,buy,2026-02-24_094049_73000_200,24/02/2026,TD6,-100.0,32400,233030000.0
2026-02-24 09:40:58,7.3,1000,buy,2026-02-24_094058_73000_1000,24/02/2026,TD6,-100.0,33400,240330000.0
2026-02-24 09:41:20,7.3,1000,sell,2026-02-24_094120_73000_1000,24/02/2026,TD6,-100.0,34400,247630000.0
2026-02-24 10:45:46,7.4,4000,buy,2026-02-24_104546_74000_4000,24/02/2026,TD6,0.0,38400,277230000.0
2026-02-24 13:00:07,7.4,800,buy,2026-02-24_130007_74000_800,24/02/2026,TD6,0.0,39200,283150000.0
2026-02-24 13:43:29,7.3,800,sell,2026-02-24_134329_73000_800,24/02/2026,TD6,-100.0,40000,288990000.0
2026-02-24 13:45:25,7.4,100,buy,2026-02-24_134525_74000_100,24/02/2026,TD6,0.0,40100,289730000.0
2026-02-24 14:19:59,7.3,100,sell,2026-02-24_141959_73000_100,24/02/2026,TD6,-100.0,40200,290460000.0
2026-02-24 14:25:55,7.3,100,buy,2026-02-24_142555_73000_100,24/02/2026,TD6,-100.0,40300,291190000.0
2026-02-24 14:28:14,7.3,300,buy,2026-02-24_142814_73000_300,24/02/2026,TD6,-100.0,40600,293380000.0
2026-02-24 14:28:31,7.4,100,buy,2026-02-24_142831_74000_100,24/02/2026,TD6,0.0,40700,294120000.0
