last_updated,name,value,unit,source
2017-11-28,Tổng trị giá Nhập khẩu,13400.0,Triệu USD,Tổng cục thống kê
2015-06-24,Máy móc thiết bị,664.0,Triệu USD,Tổng cục thống kê
2015-06-24,Điện tử máy tính,1274.0,Triệu USD,Tổng cục thống kê
2017-11-28,Thức ăn gia súc,270.0,Triệu USD,Tổng cục thống kê
2015-06-24,Café,281.0,Triệu USD,Tổng cục thống kê
2017-11-28,Ô tô,376.0,Triệu USD,Tổng cục thống kê
2015-06-24,Gạo,153.0,Triệu USD,Tổng cục thống kê
2017-11-28,Vải,800.0,Triệu USD,Tổng cục thống kê
2017-11-28,Sắt thép,672.0,Triệu USD,Tổng cục thống kê
2015-06-24,Dầu thô,304.0,Triệu USD,Tổng cục thống kê
2015-06-24,Tổng trị giá Xuất khẩu,13405.0,Triệu USD,Tổng cục thống kê
2015-06-24,Thủy sản,507.0,Triệu USD,Tổng cục thống kê
2017-11-28,"Điện tử, máy tính và linh kiện",1850.0,Triệu USD,Tổng cục thống kê
2017-11-28,"Máy móc thiết bị, phụ tùng",2400.0,Triệu USD,Tổng cục thống kê
2015-06-24,Giày da,1076.0,Triệu USD,Tổng cục thống kê
2017-11-28,Sản phẩm hóa chất,270.0,Triệu USD,Tổng cục thống kê
2017-11-28,Xăng dầu,377.0,Triệu USD,Tổng cục thống kê
2015-06-24,Gỗ và sản phẩm gỗ,589.0,Triệu USD,Tổng cục thống kê
2017-11-28,Hóa chất,240.0,Triệu USD,Tổng cục thống kê
2015-06-24,Dệt may,1918.0,Triệu USD,Tổng cục thống kê
2015-03-01,Sắt thép,448.0,Triệu USD,Tổng cục thống kê
2015-03-01,Máy móc thiết bị,450.0,Triệu USD,Tổng cục thống kê
2015-03-01,Điện tử máy tính,850.0,Triệu USD,Tổng cục thống kê
2015-03-01,Thức ăn gia súc,224.0,Triệu USD,Tổng cục thống kê
2015-03-01,Café,230.0,Triệu USD,Tổng cục thống kê
2015-03-01,Ô tô,288.0,Triệu USD,Tổng cục thống kê
2015-03-01,Gạo,84.0,Triệu USD,Tổng cục thống kê
2015-03-01,Vải,565.0,Triệu USD,Tổng cục thống kê
2015-03-01,Dầu thô,300.0,Triệu USD,Tổng cục thống kê
2015-03-01,Sản phẩm hóa chất,191.0,Triệu USD,Tổng cục thống kê
2015-03-01,Thủy sản,368.0,Triệu USD,Tổng cục thống kê
2015-03-01,Tổng trị giá Xuất khẩu,9600.0,Triệu USD,Tổng cục thống kê
2015-03-01,"Điện tử, máy tính và linh kiện",1628.0,Triệu USD,Tổng cục thống kê
2015-03-01,"Máy móc thiết bị, phụ tùng",2089.0,Triệu USD,Tổng cục thống kê
2015-03-01,Giày da,798.0,Triệu USD,Tổng cục thống kê
2015-03-01,Tổng trị giá Nhập khẩu,10480.0,Triệu USD,Tổng cục thống kê
2015-03-01,Xăng dầu,427.0,Triệu USD,Tổng cục thống kê
2015-03-01,Gỗ và sản phẩm gỗ,460.0,Triệu USD,Tổng cục thống kê
2015-03-01,Hóa chất,163.0,Triệu USD,Tổng cục thống kê
