time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-11,7.24,7.31,7.15,7.3,2026900,7.3,7.3,7.3,,0.0,0.0,0.0,,,,,APH
2025-02-12,7.4,7.5,7.3,7.3,360900,7.3,7.3,7.3,,0.0,0.0,0.0,,,0.0,,APH
2025-02-13,7.27,7.28,7.24,7.25,296400,7.283333333333334,7.283333333333334,7.283333333333334,,-0.003988603988605455,-0.000797720797721091,-0.0031908831908843637,,,-0.6849315068493178,,APH
2025-02-14,7.26,7.3,7.22,7.24,390900,7.2725,7.2725,7.2725,,-0.007865845244763747,-0.0022113456871296223,-0.005654499557634125,,,-0.13793103448275223,,APH
2025-02-17,7.22,7.32,7.21,7.3,310100,7.2780000000000005,7.2780000000000005,7.2780000000000005,,-0.006027605827283011,-0.0029745977151603006,-0.0030530081121227107,,,0.8287292817679592,,APH
2025-02-18,7.3,7.38,7.24,7.31,329300,7.283333333333334,7.283333333333334,7.283333333333334,,-0.003720978297037547,-0.00312387383153575,-0.000597104465501797,,,0.136986301369868,,APH
2025-02-19,7.3,7.48,7.3,7.48,561000,7.311428571428571,7.311428571428571,7.311428571428571,,0.011689866386739745,-0.00016112578788065116,0.011850992174620396,,,2.3255813953488413,,APH
2025-02-20,7.45,7.47,7.1,7.36,788800,7.3175,7.3175,7.3175,,0.014058022576175055,0.0026827038849304907,0.011375318691244564,,,-1.6042780748663166,,APH
2025-02-21,7.41,7.41,7.21,7.26,904400,7.311111111111111,7.311111111111111,7.311111111111111,,0.0077760022393933426,0.0037013635558230612,0.004074638683570281,,,-1.3586956521739246,,APH
2025-02-24,7.29,7.29,7.16,7.22,617000,7.302,7.302,7.302,,-0.0004253071667958963,0.00287602941129927,-0.003301336578095166,,,-0.5509641873278293,,APH
2025-02-25,7.23,7.35,7.2,7.2,438300,7.292727272727273,7.292727272727273,7.292727272727273,,-0.008441429269459455,0.0006125376751475249,-0.00905396694460698,,,-0.27700831024930483,,APH
2025-02-26,7.29,7.31,7.16,7.2,354600,7.285,7.285,7.285,,-0.014625668190127783,-0.002435103497907537,-0.012190564692220246,,,0.0,,APH
2025-02-27,7.29,7.29,7.11,7.16,721000,7.275384615384615,7.275384615384615,7.275384615384615,,-0.022495078533214752,-0.00644709850496898,-0.01604798002824577,,,-0.5555555555555536,,APH
2025-02-28,7.15,7.25,7.11,7.2,412700,7.2700000000000005,7.2700000000000005,7.2700000000000005,40.97172890412486,-0.025213333605054622,-0.01020034552498611,-0.015012988080068512,,,0.5586592178770999,,APH
2025-03-03,7.2,7.3,7.19,7.27,444200,7.27,7.27,7.27,49.7199861201291,-0.02147164360601117,-0.012454605141191122,-0.009017038464820049,,,0.9722222222222188,,APH
2025-03-04,7.26,7.26,7.06,7.16,711000,7.263125,7.263125,7.263125,39.7503048775591,-0.02707035778219069,-0.015377755669391036,-0.011692602112799655,,,-1.5130674002750921,,APH
2025-03-05,7.16,7.22,7.1,7.14,391800,7.2558823529411764,7.2558823529411764,7.2558823529411764,38.2485892857646,-0.03274376224749265,-0.01885095698501136,-0.013892805262481288,,,-0.27932960893854997,,APH
2025-03-06,7.2,7.26,7.17,7.18,362200,7.251666666666667,7.251666666666667,7.251666666666667,42.89518249064974,-0.033624705777315356,-0.02180570674347216,-0.011818999033843196,,,0.5602240896358524,,APH
2025-03-07,7.17,7.25,7.12,7.18,287500,7.247894736842106,7.247894736842106,7.247894736842106,42.89518249064974,-0.033931716169315784,-0.024230908628640888,-0.009700807540674896,,,0.0,,APH
2025-03-10,7.17,7.25,7.1,7.14,750400,7.2425,7.2425,7.2425,39.45224704274441,-0.036976448343454926,-0.0267800165716037,-0.010196431771851228,7.410569534482168,7.074430465517832,-0.5571030640668551,,APH
2025-03-11,7.14,7.3,7.07,7.25,890000,7.239999999999999,7.242857142857143,7.242857142857143,51.080614142926436,-0.030165609467427856,-0.027457135150768534,-0.0027084743166593227,7.405942285464745,7.074057714535254,1.540616246498594,0.9818194012893218,APH
2025-03-12,7.29,7.29,7.13,7.18,270200,7.234,7.24,7.24,45.13950496168826,-0.030069760097691578,-0.027979660140153143,-0.0020900999575384355,7.399484933325952,7.068515066674048,-0.96551724137931,1.0037692081291618,APH
2025-03-13,7.1,7.2,7.02,7.1,1532700,7.2265,7.23391304347826,7.23391304347826,39.48698586721756,-0.03603375549066001,-0.029590479210254518,-0.006443276280405495,7.402212085076995,7.050787914923005,-1.1142061281337101,1.0218555049384324,APH
2025-03-14,7.1,7.11,7.02,7.09,798400,7.218999999999999,7.227916666666666,7.227916666666666,38.83238880799158,-0.0410934811633199,-0.031891079600867595,-0.009202401562452306,7.404801252049489,7.03319874795051,-0.14084507042253502,1.0218614760012228,APH
