time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-08-07,31.8,31.8,30.87,31.22,37129932,,,,,,,,,,,,,,,,,,
2025-08-08,31.71,33.05,31.18,31.53,95461242,,,,,,,,,,,,,,,,,,
2025-08-11,31.8,33.53,31.36,33.31,59304473,,,,,,,,,,,,,,,,,,
2025-08-12,33.67,33.71,32.33,32.65,45402636,,,,,,,,,,,,,,,,,,
2025-08-13,32.91,33.0,31.62,32.65,67819371,,,,,,,,,,,,,,,,,,
2025-08-14,32.87,33.58,32.07,32.69,70476519,,,,,,,,,,,,,,,,,,
2025-08-15,33.22,33.36,32.2,32.47,58531479,,,,,,,,,,,,,,,,,,
2025-08-18,32.51,32.69,31.67,31.8,50263103,,,,,,,,,,,,,,,,,,
2025-08-19,31.53,33.13,31.53,32.65,59133343,,,,,,,,,,,,,,,,,,
2025-08-20,32.65,32.69,30.65,32.07,60370708,,,,,,,,,,,,,,,,,,
2025-08-21,32.16,33.67,32.07,32.91,72317891,,,,,,,,,,,,,,,,,,
2025-08-22,32.38,32.69,31.4,31.76,63840493,,,32.30916666666667,,,,,,,,,,,,,,,
2025-08-25,32.33,33.58,31.85,32.56,69379704,,,32.347756410256416,,,,,,,,,,,,,,,
2025-08-26,32.47,34.82,32.11,34.82,94414414,,,32.72810157790927,,,,,,,,,,,,,,,
2025-08-27,35.93,36.6,35.62,35.75,59697657,,,33.19300902746169,,72.96319212107525,,,,,,,,,,,,36.94089293981299,11.527957597321457
2025-08-28,35.98,37.31,35.67,37.31,54968337,,,33.826392254006045,,77.708594477455,,,,,,,,,95.23809523809523,,,37.58704697325656,10.35524308470345
2025-08-29,38.15,39.22,37.49,37.49,52505993,,,34.3900242149282,,78.18438702683567,,,,,,,,,88.50919597710731,,,44.64921312697029,9.183524015507427
2025-09-03,37.49,37.89,36.33,36.73,54169313,,,34.75002048955463,,71.2676916759612,,,,,,,,,83.58615324776352,89.11114815432201,,40.60767027234471,15.08305408972348
2025-09-04,36.95,37.84,36.55,37.58,33235681,,,35.18540195270007,,74.03442080852214,,,,,,,,,77.20731232983275,83.10088718490118,,37.57850691594161,13.9579209696796
2025-09-05,37.98,38.55,35.98,35.98,51558599,33.796499999999995,,35.30764780613083,,61.94307536945367,,,,29.532542800402425,33.796499999999995,38.060457199597565,25.233128871910232,0.7560415006283459,71.33411124076233,77.37585893945287,,36.205476212884875,12.032221407004563
2025-09-08,35.8,36.95,35.62,35.71,72182595,34.021,,35.36954814364916,,60.157575849319194,,,,29.851544879723498,34.021,38.1904551202765,24.51106740117282,0.7025444514063977,67.36678335278101,71.96940230779204,,33.620397111864534,13.105755741027492
2025-09-09,36.02,37.31,34.91,37.31,52025470,34.31,,35.66807919847237,,66.34798013136216,,,,30.070570793137364,34.31,38.54942920686264,24.712499019892967,0.8538212166797957,66.3166083236095,68.33916763905096,,29.523859169688773,15.113495910705769
2025-09-10,38.02,38.55,37.0,37.71,43302438,34.53,,35.98222086024585,,67.69915582163968,,,,30.070049327627046,34.53,38.989950672372956,25.832323616408658,0.8565061851130356,73.04550758459747,68.909633086996,,33.467318469726855,13.93275080965853
